qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
CL51A_S10_NODE_13_length_6467_cov_3.346792_1,QFP94893.1,63.6,118,41,1,1,116,1,118,2.7399999999999997e-40,132.0,CL51A_S10_NODE_13_length_6467_cov_3.346792,6117,QFP94893.1,hypothetical protein SEA_OHMYWARD_11,Gordonia phage OhMyWard,118.0,MN284896.1,60978.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deejayvirinae,Kenoshavirus,,Kenoshavirus ohmyward,E,Gordonia phage OhMyWard,,,MN284896,NC_048816,Complete genome,dsDNA,bacteria,75.048
CL51A_S10_NODE_13_length_6467_cov_3.346792_12,ATN93655.1,50.5,105,44,5,6,109,18,115,7.95e-19,77.8,CL51A_S10_NODE_13_length_6467_cov_3.346792,6117,ATN93655.1,hypothetical protein SEA_SCAP1_6,Streptomyces phage Scap1,126.0,MF975637.1,43060.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Scapunavirus,,Scapunavirus scap1,E,Streptomyces phage Scap1,,,MF975637,NC_042042,Complete genome,dsDNA,bacteria,53.025000000000006
CL51A_S10_NODE_13_length_6467_cov_3.346792_5,ATN93654.1,63.2,117,43,0,5,121,4,120,2.8e-50,158.0,CL51A_S10_NODE_13_length_6467_cov_3.346792,6117,ATN93654.1,hypothetical protein SEA_SCAP1_5,Streptomyces phage Scap1,122.0,MF975637.1,43060.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Scapunavirus,,Scapunavirus scap1,E,Streptomyces phage Scap1,,,MF975637,NC_042042,Complete genome,dsDNA,bacteria,73.944
CL51A_S10_NODE_13_length_6467_cov_3.346792_6,ADD81000.1,36.3,113,50,3,4,114,3,95,1.73e-13,67.8,CL51A_S10_NODE_13_length_6467_cov_3.346792,6117,ADD81000.1,tail fiber protein,Rhodococcus phage ReqiPoco6,742.0,GU580942.1,78064.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Pepyhexavirus,,Pepyhexavirus poco6,E,Rhodococcus phage ReqiPoco6,,,GU580942,NC_023694,Complete genome,dsDNA,bacteria,41.01899999999999
CL51A_S10_NODE_13_length_6467_cov_3.346792_7,ANA87382.1,29.4,408,257,13,39,434,66,454,1.62e-32,130.0,CL51A_S10_NODE_13_length_6467_cov_3.346792,6117,ANA87382.1,minor tail protein,Gordonia phage Orchid,461.0,KU998253.1,80650.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Orchidvirus,,Orchidvirus orchid,E,Gordonia phage Orchid,,,KU998253,NC_030915,Complete genome,dsDNA,bacteria,119.952
CL51A_S10_NODE_13_length_6467_cov_3.346792_8,QDH91849.1,47.9,96,50,0,94,189,340,435,2.9e-20,90.9,CL51A_S10_NODE_13_length_6467_cov_3.346792,6117,QDH91849.1,hypothetical protein SEA_PHRAPPUCCINO_174,Mycobacterium phage Phrappuccino,951.0,MK937592.1,136361.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Phrappuccinovirus,,Phreappuccinovirus Phrappuccino,E,Mycobacterium phage Phrappuccino,,,MK937592,NC_054727,Complete genome,dsDNA,bacteria,45.983999999999995
CL51A_S10_NODE_1_length_34602_cov_4.780999_12,QJB21821.1,36.4,198,96,3,11,208,10,177,3.88e-06,48.5,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,QJB21821.1,glycolate dehydrogenase,Xanthomonas phage FoX2,190.0,MT161382.1,44086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Foxunavirus,,Foxunavirus fox2,E,Xanthomonas phage FoX2,,,MT161382,NC_055836,Complete genome,dsDNA,bacteria,72.072
CL51A_S10_NODE_1_length_34602_cov_4.780999_25,AFU87948.1,52.3,155,58,4,1,143,1,151,4.68e-45,147.0,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,AFU87948.1,hypothetical protein CcrColossus_gp078,Caulobacter phage CcrColossus,156.0,JX100810.1,279967.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Dolichocephalovirinae,Colossusvirus,,Colossusvirus colossus,E,Caulobacter phage CcrColossus,,,JX100810,NC_019406,Complete genome,dsDNA,bacteria,81.065
CL51A_S10_NODE_1_length_34602_cov_4.780999_34,AFC22644.1,35.6,492,261,15,45,529,20,462,9.500000000000001e-75,248.0,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,AFC22644.1,putative TerL large-subunit terminase,Aeromonas phage vB_AsaM-56,488.0,JQ177063.1,43551.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Popoffvirus,,Popoffvirus pv56,E,Aeromonas phage vB_AsaM-56,,,JQ177063,NC_019527,Complete genome,dsDNA,bacteria,175.15200000000002
CL51A_S10_NODE_1_length_34602_cov_4.780999_35,AIK68484.1,37.0,138,81,3,68,200,55,191,1.49e-22,93.6,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,AIK68484.1,"putative adenine-specific DNA methyltransferase, transcriptional activator",Mesorhizobium phage vB_MloP_Lo5R7ANS,213.0,KM199771.1,45718.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Autographiviridae,,Pairvirus,,Pairvirus Lo5R7ANS,E,Mesorhizobium phage vB_MloP_Lo5R7ANS,,,KM199771,NC_025431,Complete genome,dsDNA,bacteria,51.059999999999995
CL51A_S10_NODE_1_length_34602_cov_4.780999_41,AFN39083.1,53.8,104,46,2,6,108,74,176,4.31e-27,102.0,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,AFN39083.1,hypothetical protein BcepMigl_gp14,Burkholderia phage BcepMigl,209.0,JX104231.1,62952.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Lessievirus,,Lessievirus bcepmigl,E,Burkholderia phage BcepMigl,,,JX104231,NC_019917,Complete genome,dsDNA,bacteria,55.952
CL51A_S10_NODE_1_length_34602_cov_4.780999_52,AKQ75822.1,38.5,78,42,3,56,129,38,113,3.37e-08,51.6,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,AKQ75822.1,transcriptional regulator CtrA,Roseobacter phage RDJL Phi 2,151.0,KT266805.1,63513.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Xiamenvirus,,Xiamenvirus RDJL2,E,Roseobacter phage RDJL Phi 2,,,KT266805,NC_041958,Complete genome,dsDNA,bacteria,30.03
CL51A_S10_NODE_1_length_34602_cov_4.780999_54,ATW57940.1,42.5,146,75,3,11,148,8,152,5.08e-25,99.4,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,ATW57940.1,ParB-like nuclease domain protein,Pseudomonas phage nickie,230.0,MG018927.1,112225.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Nickievirus,,Nickievirus nickie,E,Pseudomonas phage nickie,,,MG018927,NC_042091,Complete genome,dsDNA,bacteria,62.05
CL51A_S10_NODE_1_length_34602_cov_4.780999_62,AXN53317.1,37.2,137,71,7,142,265,136,270,2.66e-06,50.4,CL51A_S10_NODE_1_length_34602_cov_4.780999,31230,AXN53317.1,hypothetical protein PBI_THONKO_45,Mycobacterium phage Thonko,270.0,MH632120.1,69471.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Bclasvirinae,Thonkovirus,,Thonkovirus thonko,E,Mycobacterium phage Thonko,,,MH632120,NC_051580,Complete genome,dsDNA,bacteria,50.964000000000006
CL51A_S10_NODE_2_length_23795_cov_4.979678_15,AII28186.1,42.5,146,66,1,3,130,4,149,3.67e-29,106.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,AII28186.1,hypothetical protein PBI_SPARKY_42,Mycobacterium phage Sparky,159.0,KM083128.1,63334.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Sparkyvirus,,Sparkyvirus sparky,E,Mycobacterium phage Sparky,,,KM083128,NC_026597,Complete genome,dsDNA,bacteria,62.05
CL51A_S10_NODE_2_length_23795_cov_4.979678_2,AYD85507.1,43.4,145,77,3,4,148,632,771,5.02e-26,117.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,AYD85507.1,hypothetical protein,Escherichia phage FEC19,791.0,MH816966.1,68472.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wifcevirus,,Wifcevirus FEC19,E,Escherichia phage FEC19,,,MH816966,NC_048073,Complete genome,dsDNA,bacteria,62.92999999999999
CL51A_S10_NODE_2_length_23795_cov_4.979678_21,AKG94550.1,39.5,200,111,3,13,202,2,201,1.12e-34,124.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,AKG94550.1,endonuclease,Paracoccus phage Shpa,208.0,KR072689.1,38261.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Vhulanivirus,,Vhulanivirus Shpa,E,Paracoccus phage Shpa,,,KR072689,NC_041868,Complete genome,dsDNA,bacteria,79.0
CL51A_S10_NODE_2_length_23795_cov_4.979678_22,AAF80811.2,47.8,180,81,3,45,223,19,186,1.24e-46,159.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,AAF80811.2,ERF family protein,Pseudomonas phage D3,250.0,AF165214.2,56426.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Detrevirus,,Detrevirus D3,E,Pseudomonas phage D3,,,AF165214,NC_002484,Complete genome,dsDNA,bacteria,86.03999999999999
CL51A_S10_NODE_2_length_23795_cov_4.979678_29,AUV56632.1,42.7,131,75,0,10,140,7,137,2.5100000000000004e-27,101.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,AUV56632.1,holliday junction resolvase,Faecalibacterium phage FP_Brigit,142.0,MG711465.1,61716.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Brigitvirus,,Brigitvirus brigit,E,Faecalibacterium phage FP_Brigit,,,MG711465,NC_047909,Complete genome,dsDNA,bacteria,55.937000000000005
CL51A_S10_NODE_2_length_23795_cov_4.979678_30,ARB05726.1,38.4,190,102,4,9,194,50,228,1.72e-39,137.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,ARB05726.1,DNA methyltransferase,Synechococcus virus S-ESS1,243.0,KY249644.1,60362.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Casjensviridae,,Sessunavirus,,Sessunavirus SESS1,E,Synechococcus virus S-ESS1,,,KY249644,NC_052968,Complete genome,dsDNA,bacteria,72.96
CL51A_S10_NODE_2_length_23795_cov_4.979678_31,AKU43487.1,33.8,477,287,12,9,460,11,483,6.690000000000001e-58,201.0,CL51A_S10_NODE_2_length_23795_cov_4.979678,18123,AKU43487.1,DNA helicase,Caulobacter phage Sansa,506.0,KT001913.1,80297.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Sansavirus,,Caulobacter virus Sansa,E,Caulobacter phage Sansa,,,KT001913,NC_047756,Complete genome,dsDNA,bacteria,161.22599999999997
CL51A_S10_NODE_3_length_21940_cov_66.647624_10,AWY05144.1,31.5,607,387,13,4,590,340,937,5.1200000000000004e-73,255.0,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,AWY05144.1,DNA primase/helicase,Microbacterium phage Krampus,961.0,MH271301.1,56708.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Krampusvirus,,Krampusvirus krampus,E,Microbacterium phage Krampus,,,MH271301,NC_047986,Complete genome,dsDNA,bacteria,191.205
CL51A_S10_NODE_3_length_21940_cov_66.647624_15,ABS87503.1,24.7,442,282,15,24,447,28,436,1.97e-21,99.4,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,ABS87503.1,hypothetical protein,Staphylococcus phage tp310-2,455.0,EF462198.1,47785.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Triavirus,,Triavirus tp3102,E,Staphylococcus phage tp310-2,,,EF462198,NC_009762,Complete genome,dsDNA,bacteria,109.17399999999999
CL51A_S10_NODE_3_length_21940_cov_66.647624_19,ALH23492.1,39.0,105,61,2,17,120,15,117,3.99e-12,64.3,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,ALH23492.1,putative nucleotide pyrophosphohydrolase,Pseudomonas phage PaMx74,245.0,JQ067093.2,58637.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Pamexvirus,,Pamexvirus PaMx74,E,Pseudomonas phage PaMx74,,,JQ067093,NC_028809,Complete genome,dsDNA,bacteria,40.95
CL51A_S10_NODE_3_length_21940_cov_66.647624_21,ARB06150.1,23.6,440,282,15,174,578,247,667,1.71e-11,70.1,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,ARB06150.1,putative DNA polymerase A,Dinoroseobacter phage vB_DshS-R5C,671.0,KY606587.1,77874.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Nanhaivirus,,Nanhaivirus D5C,E,Dinoroseobacter phage vB_DshS-R5C,,,KY606587,NC_041921,Complete genome,dsDNA,bacteria,103.84000000000002
CL51A_S10_NODE_3_length_21940_cov_66.647624_24,AAX84874.1,36.6,134,67,7,11,141,2,120,9.28e-11,59.7,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,AAX84874.1,putative deoxycytidylate deaminase,Xanthomonas phage Xp15,160.0,AY986977.1,55770.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alachuavirus,,Alachuavirus Xp15,E,Xanthomonas phage Xp15,,,AY986977,NC_007024,Complete genome,dsDNA,bacteria,49.044000000000004
CL51A_S10_NODE_3_length_21940_cov_66.647624_3,AEJ81431.1,26.9,212,123,7,75,283,68,250,2.16e-08,56.6,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,AEJ81431.1,DNA ligase,Erwinia phage vB_EamM-Y2,254.0,HQ728264.1,56621.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Chaseviridae,Cleopatravirinae,Loessnervirus,,Loessnervirus Y2,E,Erwinia phage vB_EamM-Y2,,,HQ728264,NC_019504,Complete genome,dsDNA,bacteria,57.028
CL51A_S10_NODE_3_length_21940_cov_66.647624_31,AXH67077.1,33.5,215,109,11,1,205,1,191,1.03e-17,80.1,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,AXH67077.1,RNA ligase,Mycobacterium phage Thyatira,197.0,MH576966.1,63874.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Weiservirinae,Kratiovirus,,Kratiovirus thyatira,E,Mycobacterium phage Thyatira,,,MH576966,NC_051597,Complete genome,dsDNA,bacteria,72.02499999999999
CL51A_S10_NODE_3_length_21940_cov_66.647624_32,QQO91766.1,51.6,62,28,1,3,62,18,79,1.77e-16,70.1,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,QQO91766.1,protein of unknown function DUF3310,Flavobacterium phage vB_FspM_immuto_2-6A,89.0,MW353175.1,160410.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Immutovirus,,Immutovirus immuto,E,Flavobacterium phage vB_FspM_immuto_2-6A,immuto_2-6A,,MW353175,NC_055915,Complete genome,dsDNA,bacteria,31.992
CL51A_S10_NODE_3_length_21940_cov_66.647624_34,QOR58337.1,36.1,155,88,3,1,144,146,300,4.2500000000000004e-21,89.4,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,QOR58337.1,flavin-dependent thymidylate synthase,crAssphage cr106_1,300.0,MT774378.1,101662.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Steigviridae,Asinivirinae,Mahstovirus,,Mahstovirus faecalis,E,uncultured phage cr106_1,,,MT774378,NC_055871,Complete genome,dsDNA,bacteria,55.955000000000005
CL51A_S10_NODE_3_length_21940_cov_66.647624_5,AAL19895.1,38.5,366,198,5,33,374,890,1252,3.6200000000000005e-64,226.0,CL51A_S10_NODE_3_length_21940_cov_66.647624,20850,AAL19895.1,cell division protein,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,1351.0,AE006468.2,4857450.0,,,,,,,,,,,,,,,,,,,,,,,,,140.91
CL51A_S10_NODE_4_length_18267_cov_57.741946_15,ADO97524.1,54.1,351,136,4,14,353,3,339,9.6e-133,384.0,CL51A_S10_NODE_4_length_18267_cov_57.741946,16704,ADO97524.1,nucleotide-sugar epimerase,Synechococcus phage S-SM2,339.0,GU071095.1,190789.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Nilusvirus,,Nilusvirus ssm2,E,Synechococcus phage S-SM2,,,GU071095,NC_015279,Complete genome,dsDNA,bacteria,189.891
CL51A_S10_NODE_6_length_13119_cov_4.917574_1,AEY69750.1,34.9,83,49,1,243,320,239,321,2.12e-07,55.1,CL51A_S10_NODE_6_length_13119_cov_4.917574,12627,AEY69750.1,Structural protein,Brucella phage Pr,326.0,JN939332.1,38253.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Perisivirus,,Perisivirus Pr,E,Brucella phage Pr,,,JN939332,NC_019447,Complete genome,dsDNA,bacteria,28.967
CL51A_S10_NODE_6_length_13119_cov_4.917574_11,BAG41630.1,63.5,74,26,1,135,207,536,609,1.08e-13,77.8,CL51A_S10_NODE_6_length_13119_cov_4.917574,12627,BAG41630.1,hypothetical protein,Ralstonia phage phiRSL1,1586.0,AB366653.2,231255.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Mieseafarmvirus,,Mieseafarmvirus RSL1,E,Ralstonia phage phiRSL1,,,AB366653,NC_010811,Complete genome,dsDNA,bacteria,46.99
CL51A_S10_NODE_6_length_13119_cov_4.917574_14,QOR57190.1,34.4,96,56,3,2,92,4,97,4.2e-08,55.8,CL51A_S10_NODE_6_length_13119_cov_4.917574,12627,QOR57190.1,endonuclease,crAssphage cr6_1,324.0,MT774401.1,97422.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Bearivirinae,Afonbuvirus,,Afonbuvirus faecalis,E,uncultured phage cr6_1,,,MT774401,NC_055894,Complete genome,dsDNA,bacteria,33.024
CL51A_S10_NODE_6_length_13119_cov_4.917574_6,QCQ57848.1,33.2,416,237,12,16,405,3,403,1.9499999999999998e-60,204.0,CL51A_S10_NODE_6_length_13119_cov_4.917574,12627,QCQ57848.1,DNA modification methylase,Bacillus phage vB_BtS_B83,406.0,MK759918.1,49952.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Skryabinvirinae,Pushchinovirus,,Pushchinovirus B83,E,Bacillus phage vB_BtS_B83,,,MK759918,NC_048762,Complete genome,dsDNA,bacteria,138.11200000000002
CL51A_S10_NODE_7_length_8453_cov_2.689231_7,AEF57209.1,45.9,61,31,1,13,71,187,247,3.65e-09,55.5,CL51A_S10_NODE_7_length_8453_cov_2.689231,7566,AEF57209.1,lysin A,Mycobacterium phage Faith1,316.0,JF744988.1,75960.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Vilmaviridae,Lclasvirinae,Faithunavirus,,Faithunavirus faith1,E,Mycobacterium phage Faith1,,,JF744988,NC_015584,Complete genome,dsDNA,bacteria,27.999
CL51A_S10_NODE_8_length_8366_cov_3.605139_13,AYN56901.1,39.6,197,119,0,85,281,68,264,1.1400000000000001e-26,118.0,CL51A_S10_NODE_8_length_8366_cov_3.605139,8136,AYN56901.1,tape measure protein,Microbacterium phage Armstrong,607.0,MH834596.1,39928.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Armstrongvirus,,Armstrongvirus armstrong,E,Microbacterium phage Armstrong,,,MH834596,NC_048090,Complete genome,dsDNA,bacteria,78.012
CL51A_S10_NODE_9_length_8346_cov_2.937477_12,AKF14422.1,48.1,106,36,4,1,99,1,94,2.2899999999999998e-23,94.0,CL51A_S10_NODE_9_length_8346_cov_2.937477,7014,AKF14422.1,hypothetical protein SEA_PHAYONCE_62,Mycobacterium phage Phayonce,338.0,KR080195.1,49203.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Pclasvirinae,Phayoncevirus,,Phayoncevirus phayonce,E,Mycobacterium phage Phayonce,,,KR080195,NC_028796,Complete genome,dsDNA,bacteria,50.986000000000004
CL51A_S10_NODE_9_length_8346_cov_2.937477_17,APL99259.1,35.2,193,118,5,3,191,8,197,5.78e-27,103.0,CL51A_S10_NODE_9_length_8346_cov_2.937477,7014,APL99259.1,transcription elongation protein SprT,Bordetella phage CN2,198.0,KY000219.1,62030.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Mesyanzhinovviridae,Rabinowitzvirinae,Vojvodinavirus,,Bordetella virus CN2,E,Bordetella phage CN2,,,KY000219,NC_047877,Complete genome,dsDNA,bacteria,67.936
CR10_S3_NODE_102_length_5123_cov_12.388426_1,ATW69393.1,52.7,91,40,1,72,159,5,95,1.18e-19,87.4,CR10_S3_NODE_102_length_5123_cov_12.388426,5124,ATW69393.1,minor tail protein,Streptomyces phage Immanuel3,432.0,MG518520.1,46094.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Beephvirinae,Immanueltrevirus,,Immanueltrevirus immanuel3,E,Streptomyces phage Immanuel3,,,MG518520,NC_048686,Complete genome,dsDNA,bacteria,47.957
CR10_S3_NODE_102_length_5123_cov_12.388426_2,QDH91757.1,32.6,132,76,6,64,187,458,584,2.7e-07,53.1,CR10_S3_NODE_102_length_5123_cov_12.388426,5124,QDH91757.1,minor tail protein,Mycobacterium phage Phrappuccino,929.0,MK937592.1,136361.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Phrappuccinovirus,,Phreappuccinovirus Phrappuccino,E,Mycobacterium phage Phrappuccino,,,MK937592,NC_054727,Complete genome,dsDNA,bacteria,43.032000000000004
CR10_S3_NODE_103_length_5118_cov_13.447332_11,ANJ20677.1,46.7,92,47,1,1,92,1,90,3.78e-18,76.6,CR10_S3_NODE_103_length_5118_cov_13.447332,4620,ANJ20677.1,hypothetical protein DSp06_gp20,Dinoroseobacter phage DS-1410Ws-06,90.0,KU885988.1,76466.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Schitoviridae,Rhodovirinae,Sanyabayvirus,,Sanyabayvirus DS1410Ws06,E,Dinoroseobacter phage DS-1410Ws-06,,,KU885988,NC_049371,Partial genome,dsDNA,bacteria,42.964000000000006
CR10_S3_NODE_107_length_5076_cov_11.039808_2,AVO23139.1,22.4,425,228,14,288,624,340,750,2.72e-06,53.9,CR10_S3_NODE_107_length_5076_cov_11.039808,4917,AVO23139.1,DNA polymerase I,Xanthomonas phage RiverRider,878.0,MG983743.2,76335.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Schitoviridae,,Riverridervirus,,Riverridervirus riverrider,E,Xanthomonas phage RiverRider,,,MG983743,NC_048703,Complete genome,dsDNA,bacteria,95.19999999999999
CR10_S3_NODE_10_length_10113_cov_16.570147_12,ABY52838.1,38.8,129,71,3,7,134,8,129,5.0999999999999995e-23,90.9,CR10_S3_NODE_10_length_10113_cov_16.570147,8760,ABY52838.1,Appr-1-p processing enzyme family,Escherichia phage phiEco32,146.0,EU330206.1,77554.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Kuravirus,,Kuravirus phiEco32,E,Escherichia phage phiEco32,,,EU330206,NC_010324,Complete genome,dsDNA,bacteria,50.052
CR10_S3_NODE_13_length_9617_cov_179.154822_6,AEY69699.1,30.8,237,130,8,1,221,1,219,2.5699999999999998e-23,97.1,CR10_S3_NODE_13_length_9617_cov_179.154822,8157,AEY69699.1,putative endolysin,Brucella phage Tb,271.0,JN939331.1,41148.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Perisivirus,,Perisivirus Tb,E,Brucella phage Tb,,,JN939331,NC_019446,Complete genome,dsDNA,bacteria,72.99600000000001
CR10_S3_NODE_19_length_8594_cov_3.734296_14,BAP28128.1,37.7,151,84,5,7,154,4,147,3.34e-16,73.6,CR10_S3_NODE_19_length_8594_cov_3.734296,8277,BAP28128.1,hypothetical protein,Ralstonia phage RSY1,154.0,AB981169.1,40002.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Peduoviridae,,Arsyunavirus,,Arsyunavirus RSY1,E,Ralstonia phage RSY1,,,AB981169,NC_025115,Complete genome,dsDNA,bacteria,56.92700000000001
CR10_S3_NODE_19_length_8594_cov_3.734296_18,QMV33623.1,47.2,144,69,2,1,142,5,143,2.7199999999999997e-30,110.0,CR10_S3_NODE_19_length_8594_cov_3.734296,8277,QMV33623.1,lysozyme,Ralstonia phage Raharianne,145.0,MT740745.1,46321.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Rahariannevirus,,Rahariannevirus raharianne,E,Ralstonia phage Raharianne,Raharianne,,MT740745,NC_054955,Complete genome,dsDNA,bacteria,67.968
CR10_S3_NODE_19_length_8594_cov_3.734296_6,QDP44192.1,40.7,123,54,3,1,112,2,116,1.18e-21,85.1,CR10_S3_NODE_19_length_8594_cov_3.734296,8277,QDP44192.1,hypothetical protein SEA_JUJU_76,Gordonia phage JuJu,120.0,MN062704.1,54000.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Jujuvirus,,Jujuvirus juju,E,Gordonia phage JuJu,,,MN062704,NC_055811,Complete genome,dsDNA,bacteria,50.061
CR10_S3_NODE_1_length_183431_cov_8.855302_1,AAL22981.1,28.1,431,276,12,262,667,412,833,2.3300000000000001e-32,137.0,CR10_S3_NODE_1_length_183431_cov_8.855302,172707,AAL22981.1,"RNA polymerase, beta subunit",Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,1342.0,AE006468.2,4857450.0,,,,,,,,,,,,,,,,,,,,,,,,,121.11099999999999
CR10_S3_NODE_1_length_183431_cov_8.855302_110,AFU86724.1,25.3,576,321,21,8,509,10,550,1.24e-20,98.2,CR10_S3_NODE_1_length_183431_cov_8.855302,172707,AFU86724.1,hypothetical protein CcrRogue_gp242,Caulobacter phage CcrRogue,582.0,JX100814.1,223720.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Dolichocephalovirinae,Poindextervirus,,Poindextervirus rogue,E,Caulobacter phage CcrRogue,,,JX100814,NC_019408,Complete genome,dsDNA,bacteria,145.728
