,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_genome_ID,qseqid_ID,qseqid_function,qseqid_protein_length,qseqid_genome_length,qseqid_input_seq,qseqid_virus,sseqid_genome_ID,sseqid_ID,sseqid_function,sseqid_protein_length,sseqid_genome_length,sseqid_input_seq,sseqid_virus,conserved_AA_#
2422,NC_002371.1_54,DAA00991.1,99.6,233,1,0,1,233,1,233,7.31e-114,328.0,NC_002371.1,NC_002371.1_54,,234,37314.0,1.0,,BK000583.1,DAA00991.1,TPA_inf: head completion protein,233.0,41724.0,0.0,Salmonella phage P22,232.06799999999998
2423,NC_002371.1_54,YP_063715.1,99.6,233,1,0,1,233,1,233,7.31e-114,328.0,NC_002371.1,NC_002371.1_54,,234,37314.0,1.0,,NC_002371.2,YP_063715.1,tail needle protein,Salmonella phage P22,41724.0,0.0,233,232.06799999999998
2424,NC_002371.1_54,SIU02673.1,72.1,233,65,0,1,233,1,233,5.140000000000001e-88,263.0,NC_002371.1,NC_002371.1_54,,234,37314.0,1.0,,LT714109.2,SIU02673.1,needle protein,233.0,40525.0,0.0,Lederbergvirus BTP1,167.993
2425,NC_002371.1_54,YP_009639214.1,72.1,233,65,0,1,233,1,233,5.140000000000001e-88,263.0,NC_002371.1,NC_002371.1_54,,234,37314.0,1.0,,NC_042346.1,YP_009639214.1,tail needle protein,Lederbergvirus BTP1,40525.0,0.0,233,167.993
2426,NC_002371.1_54,AAY46511.1,81.1,233,44,0,1,233,1,233,9.92e-81,244.0,NC_002371.1,NC_002371.1_54,,234,37314.0,1.0,,DQ003260.1,AAY46511.1,Gp26,233.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),188.963
2427,NC_002371.1_55,DAA00992.1,98.7,151,2,0,1,151,1,151,5.84e-112,317.0,NC_002371.1,NC_002371.1_55,,152,37314.0,1.0,,BK000583.1,DAA00992.1,TPA_inf: virion stability factor,151.0,41724.0,0.0,Salmonella phage P22,149.037
2428,NC_002371.1_55,YP_063716.1,98.7,151,2,0,1,151,1,151,5.84e-112,317.0,NC_002371.1,NC_002371.1_55,,152,37314.0,1.0,,NC_002371.2,YP_063716.1,head morphogenesis,Salmonella phage P22,41724.0,0.0,151,149.037
2429,NC_002371.1_55,AAY46512.1,95.4,151,7,0,1,151,1,151,9.33e-109,308.0,NC_002371.1,NC_002371.1_55,,152,37314.0,1.0,,DQ003260.1,AAY46512.1,Gp14,151.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),144.054
2430,NC_002371.1_55,YP_002455896.1,95.4,151,7,0,1,151,1,151,9.33e-109,308.0,NC_002371.1,NC_002371.1_55,,152,37314.0,1.0,,NC_011802.1,YP_002455896.1,head morphogenesis,Salmonella phage SE1 (in:P22virus),41941.0,0.0,151,144.054
2431,NC_002371.1_55,SIU02674.1,94.0,151,9,0,1,151,1,151,2.2e-107,305.0,NC_002371.1,NC_002371.1_55,,152,37314.0,1.0,,LT714109.2,SIU02674.1,hypothetical protein BTP1_010,151.0,40525.0,0.0,Lederbergvirus BTP1,141.94
2432,NC_002371.1_56,DAA00993.1,99.6,229,1,0,1,229,1,229,8.679999999999999e-150,419.0,NC_002371.1,NC_002371.1_56,,230,37314.0,1.0,,BK000583.1,DAA00993.1,TPA_inf: injection protein,229.0,41724.0,0.0,Salmonella phage P22,228.084
2433,NC_002371.1_56,YP_063717.1,99.6,229,1,0,1,229,1,229,8.679999999999999e-150,419.0,NC_002371.1,NC_002371.1_56,,230,37314.0,1.0,,NC_002371.2,YP_063717.1,DNA ejection,Salmonella phage P22,41724.0,0.0,229,228.084
2434,NC_002371.1_56,AAY46513.1,93.0,229,16,0,1,229,1,229,2e-139,392.0,NC_002371.1,NC_002371.1_56,,230,37314.0,1.0,,DQ003260.1,AAY46513.1,Gp7,229.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),212.97
2435,NC_002371.1_56,YP_002455897.1,93.0,229,16,0,1,229,1,229,2e-139,392.0,NC_002371.1,NC_002371.1_56,,230,37314.0,1.0,,NC_011802.1,YP_002455897.1,DNA ejection,Salmonella phage SE1 (in:P22virus),41941.0,0.0,229,212.97
2436,NC_002371.1_56,AAK28900.1,93.9,230,13,1,1,229,1,230,2.08e-139,392.0,NC_002371.1,NC_002371.1_56,,230,37314.0,1.0,,AF335538.1,AAK28900.1,DNA transfer protein,230.0,38297.0,0.0,Enterobacteria phage HK620,215.97
2437,NC_002371.1_57,DAA00994.1,100.0,471,0,0,1,471,1,471,0.0,899.0,NC_002371.1,NC_002371.1_57,,472,37314.0,1.0,,BK000583.1,DAA00994.1,TPA_inf: injection protein,471.0,41724.0,0.0,Salmonella phage P22,471.0
2438,NC_002371.1_57,NP_059637.1,100.0,471,0,0,1,471,1,471,0.0,899.0,NC_002371.1,NC_002371.1_57,,472,37314.0,1.0,,NC_002371.2,NP_059637.1,released from the phage upon host infection,Salmonella phage P22,41724.0,0.0,471,471.0
2439,NC_002371.1_57,SIU02676.1,71.6,422,120,0,50,471,35,456,6.41e-199,562.0,NC_002371.1,NC_002371.1_57,,472,37314.0,1.0,,LT714109.2,SIU02676.1,DNA transfer protein,456.0,40525.0,0.0,Lederbergvirus BTP1,302.15199999999993
2440,NC_002371.1_57,YP_009639217.1,71.6,422,120,0,50,471,35,456,6.41e-199,562.0,NC_002371.1,NC_002371.1_57,,472,37314.0,1.0,,NC_042346.1,YP_009639217.1,released from the phage upon host infection,Lederbergvirus BTP1,40525.0,0.0,456,302.15199999999993
2441,NC_002371.1_57,AAL15534.1,70.2,392,117,0,71,462,49,440,3.94e-180,514.0,NC_002371.1,NC_002371.1_57,,472,37314.0,1.0,,AY052766.1,AAL15534.1,20,444.0,40679.0,0.0,Salmonella phage ST64T,275.184
2442,NC_002371.1_58,DAA00995.1,99.7,609,2,0,1,609,1,609,0.0,1146.0,NC_002371.1,NC_002371.1_58,,610,37314.0,1.0,,BK000583.1,DAA00995.1,TPA_inf: injection protein,609.0,41724.0,0.0,Salmonella phage P22,607.173
2443,NC_002371.1_58,YP_063718.1,99.7,609,2,0,1,609,1,609,0.0,1146.0,NC_002371.1,NC_002371.1_58,,610,37314.0,1.0,,NC_002371.2,YP_063718.1,head morphogenesis,Salmonella phage P22,41724.0,0.0,609,607.173
2444,NC_002371.1_58,AAY46515.1,80.3,558,103,2,50,600,71,628,1.42e-309,856.0,NC_002371.1,NC_002371.1_58,,610,37314.0,1.0,,DQ003260.1,AAY46515.1,Gp16,638.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),448.074
2445,NC_002371.1_58,YP_002455899.1,80.3,558,103,2,50,600,71,628,1.42e-309,856.0,NC_002371.1,NC_002371.1_58,,610,37314.0,1.0,,NC_011802.1,YP_002455899.1,DNA transfer protein,Salmonella phage SE1 (in:P22virus),41941.0,0.0,638,448.074
2446,NC_002371.1_58,AAF03978.1,64.6,624,202,5,1,609,1,620,2.05e-265,743.0,NC_002371.1,NC_002371.1_58,,610,37314.0,1.0,,AF157835.1,AAF03978.1,P35,625.0,36524.0,0.0,Hamiltonella phage APSE-1,403.104
2447,NC_002371.1_59,DAA00996.1,100.0,164,0,0,1,164,1,164,2.49e-108,308.0,NC_002371.1,NC_002371.1_59,,165,37314.0,1.0,,BK000583.1,DAA00996.1,TPA_inf: SieA,164.0,41724.0,0.0,Salmonella phage P22,164.0
2448,NC_002371.1_59,NP_059639.1,100.0,164,0,0,1,164,1,164,2.49e-108,308.0,NC_002371.1,NC_002371.1_59,,165,37314.0,1.0,,NC_002371.2,NP_059639.1,superinfection exclusion SieA-like,Salmonella phage P22,41724.0,0.0,164,164.0
2449,NC_002371.1_60,AAK28904.1,100.0,68,0,0,1,68,54,121,1.24e-46,147.0,NC_002371.1,NC_002371.1_60,,69,37314.0,1.0,,AF335538.1,AAK28904.1,unknown,121.0,38297.0,0.0,Enterobacteria phage HK620,68.0
2450,NC_002371.1_60,NP_112089.1,100.0,68,0,0,1,68,54,121,1.24e-46,147.0,NC_002371.1,NC_002371.1_60,,69,37314.0,1.0,,NC_002730.1,NP_112089.1,hypothetical protein,Enterobacteria phage HK620,38297.0,0.0,121,68.0
2451,NC_002371.1_60,AAY46516.1,98.5,68,1,0,1,68,54,121,2.05e-45,144.0,NC_002371.1,NC_002371.1_60,,69,37314.0,1.0,,DQ003260.1,AAY46516.1,unknown,121.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),66.98
2452,NC_002371.1_60,YP_002455900.1,98.5,68,1,0,1,68,54,121,2.05e-45,144.0,NC_002371.1,NC_002371.1_60,,69,37314.0,1.0,,NC_011802.1,YP_002455900.1,hypothetical protein,Salmonella phage SE1 (in:P22virus),41941.0,0.0,121,66.98
2453,NC_002371.1_60,AAL15521.1,49.2,61,31,0,8,68,64,124,1.67e-17,73.6,NC_002371.1,NC_002371.1_60,,69,37314.0,1.0,,AY052766.1,AAL15521.1,Orf-129,129.0,40679.0,0.0,Salmonella phage ST64T,30.012
2454,NC_002371.1_61,DAA00997.1,100.0,59,0,0,1,59,1,59,1.67e-39,126.0,NC_002371.1,NC_002371.1_61,,60,37314.0,1.0,,BK000583.1,DAA00997.1,TPA_inf: unknown,59.0,41724.0,0.0,Salmonella phage P22,59.0
2455,NC_002371.1_61,NP_059640.1,100.0,59,0,0,1,59,1,59,1.67e-39,126.0,NC_002371.1,NC_002371.1_61,,60,37314.0,1.0,,NC_002371.2,NP_059640.1,hypothetical protein,Salmonella phage P22,41724.0,0.0,59,59.0
2456,NC_002371.1_61,AAY46517.1,98.3,59,1,0,1,59,1,59,9.7e-39,124.0,NC_002371.1,NC_002371.1_61,,60,37314.0,1.0,,DQ003260.1,AAY46517.1,unknown,59.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),57.99699999999999
2457,NC_002371.1_61,YP_002455901.1,98.3,59,1,0,1,59,1,59,9.7e-39,124.0,NC_002371.1,NC_002371.1_61,,60,37314.0,1.0,,NC_011802.1,YP_002455901.1,hypothetical protein,Salmonella phage SE1 (in:P22virus),41941.0,0.0,59,57.99699999999999
2458,NC_002371.1_62,DAA00978.1,100.0,83,0,0,1,83,1,83,9.919999999999999e-54,164.0,NC_002371.1,NC_002371.1_62,,84,37314.0,1.0,,BK000583.1,DAA00978.1,TPA_inf: transcriptional repressor,83.0,41724.0,0.0,Salmonella phage P22,83.0
2459,NC_002371.1_62,NP_059641.1,100.0,83,0,0,1,83,1,83,9.919999999999999e-54,164.0,NC_002371.1,NC_002371.1_62,,84,37314.0,1.0,,NC_002371.2,NP_059641.1,partition protein ATPase,Salmonella phage P22,41724.0,0.0,83,83.0
2460,NC_002371.1_62,AAY46518.1,74.7,83,21,0,1,83,1,83,7.6e-40,129.0,NC_002371.1,NC_002371.1_62,,84,37314.0,1.0,,DQ003260.1,AAY46518.1,Mnt,83.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),62.001
2461,NC_002371.1_62,YP_002455902.1,74.7,83,21,0,1,83,1,83,7.6e-40,129.0,NC_002371.1,NC_002371.1_62,,84,37314.0,1.0,,NC_011802.1,YP_002455902.1,partition protein ATPase,Salmonella phage SE1 (in:P22virus),41941.0,0.0,83,62.001
2462,NC_002371.1_62,AAL15536.1,60.5,81,32,0,1,81,1,81,1.2100000000000001e-29,103.0,NC_002371.1,NC_002371.1_62,,84,37314.0,1.0,,AY052766.1,AAL15536.1,Mnt,82.0,40679.0,0.0,Salmonella phage ST64T,49.005
2463,NC_002371.1_63,DAA00979.1,100.0,53,0,0,1,53,1,53,2.3800000000000002e-32,108.0,NC_002371.1,NC_002371.1_63,,54,37314.0,1.0,,BK000583.1,DAA00979.1,TPA_inf: transcriptional repressor,53.0,41724.0,0.0,Salmonella phage P22,53.0
2464,NC_002371.1_63,NP_059642.1,100.0,53,0,0,1,53,1,53,2.3800000000000002e-32,108.0,NC_002371.1,NC_002371.1_63,,54,37314.0,1.0,,NC_002371.2,NP_059642.1,Arc-like repressor,Salmonella phage P22,41724.0,0.0,53,53.0
2465,NC_002371.1_63,YP_010667103.1,38.8,49,30,0,1,49,1,49,2.13e-06,42.7,NC_002371.1,NC_002371.1_63,,54,37314.0,1.0,,NC_070949.1,YP_010667103.1,Arc-like repressor,Erwinia phage Midgardsormr38,50485.0,0.0,54,19.011999999999997
2466,NC_002371.1_63,AYP69248.1,33.3,51,34,0,1,51,1,51,8.64e-06,41.2,NC_002371.1,NC_002371.1_63,,54,37314.0,1.0,,MH898687.1,AYP69248.1,putative regulator protein Arc-like DNA binding domain protein,54.0,40844.0,0.0,Edwardsiella phage Edno5,16.983
2467,NC_002371.1_63,YP_010052833.1,33.3,51,34,0,1,51,1,51,8.64e-06,41.2,NC_002371.1,NC_002371.1_63,,54,37314.0,1.0,,NC_054464.1,YP_010052833.1,Arc-like repressor,Edwardsiella phage Edno5,40844.0,0.0,54,16.983
2468,NC_002371.1_64,DAA00980.1,100.0,300,0,0,1,300,1,300,1.46e-222,608.0,NC_002371.1,NC_002371.1_64,,301,37314.0,1.0,,BK000583.1,DAA00980.1,TPA_inf: antirepressor,300.0,41724.0,0.0,Salmonella phage P22,300.0
2469,NC_002371.1_64,NP_059643.1,100.0,300,0,0,1,300,1,300,1.46e-222,608.0,NC_002371.1,NC_002371.1_64,,301,37314.0,1.0,,NC_002371.2,NP_059643.1,Ant,Salmonella phage P22,41724.0,0.0,300,300.0
2470,NC_002371.1_64,ACI32400.1,55.2,315,118,8,1,300,1,307,1.82e-108,320.0,NC_002371.1,NC_002371.1_64,,301,37314.0,1.0,,FJ184280.1,ACI32400.1,antirepressor protein Ant,307.0,54896.0,0.0,Enterobacteria phage YYZ-2008,173.88
2471,NC_002371.1_64,ACI43165.1,55.2,315,118,8,1,300,1,307,1.82e-108,320.0,NC_002371.1,NC_002371.1_64,,301,37314.0,1.0,,FJ188381.1,ACI43165.1,phage antirepressor protein,307.0,62147.0,0.0,Stx2-converting phage 1717,173.88
2472,NC_002371.1_64,YP_002274201.1,55.2,315,118,8,1,300,1,307,1.82e-108,320.0,NC_002371.1,NC_002371.1_64,,301,37314.0,1.0,,NC_011356.1,YP_002274201.1,anti-repressor Ant,Enterobacteria phage YYZ-2008,54896.0,0.0,307,173.88
2473,NC_002371.1_65,DAA00981.1,100.0,667,0,0,1,667,1,667,0.0,1302.0,NC_002371.1,NC_002371.1_65,,668,37314.0,1.0,,BK000583.1,DAA00981.1,TPA_inf: tailspike protein,667.0,41724.0,0.0,Salmonella phage P22,667.0
2474,NC_002371.1_65,NP_059644.1,100.0,667,0,0,1,667,1,667,0.0,1302.0,NC_002371.1,NC_002371.1_65,,668,37314.0,1.0,,NC_002371.2,NP_059644.1,tail spike protein,Salmonella phage P22,41724.0,0.0,667,667.0
2475,NC_002371.1_65,AAY46519.1,98.7,667,9,0,1,667,1,667,0.0,1284.0,NC_002371.1,NC_002371.1_65,,668,37314.0,1.0,,DQ003260.1,AAY46519.1,Gp9,667.0,41941.0,0.0,Salmonella phage SE1 (in:P22virus),658.3290000000001
2476,NC_002371.1_65,YP_002455903.1,98.7,667,9,0,1,667,1,667,0.0,1284.0,NC_002371.1,NC_002371.1_65,,668,37314.0,1.0,,NC_011802.1,YP_002455903.1,tail spike protein,Salmonella phage SE1 (in:P22virus),41941.0,0.0,667,658.3290000000001
2477,NC_002371.1_65,AAL15537.1,98.7,667,9,0,1,667,1,667,0.0,1282.0,NC_002371.1,NC_002371.1_65,,668,37314.0,1.0,,AY052766.1,AAL15537.1,9,667.0,40679.0,0.0,Salmonella phage ST64T,658.3290000000001
2478,NC_001895.1_1,YP_010663676.1,82.9,41,6,1,2,41,1,41,5.49e-13,58.9,NC_001895.1,NC_001895.1_1,,47,30858.0,1.0,,NC_070902.1,YP_010663676.1,hypothetical protein,Escherichia phage 11W,31564.0,0.0,48,33.989
2479,NC_001895.1_1,VUD38852.1,73.7,38,9,1,5,41,5,42,1.5e-08,47.8,NC_001895.1,NC_001895.1_1,,47,30858.0,1.0,,LR595885.1,VUD38852.1,"hypothetical protein, partial",49.0,31128.0,0.0,Peduovirus P24E6b,28.006
2480,NC_001895.1_1,YP_009877298.1,73.7,38,9,1,5,41,5,42,1.5e-08,47.8,NC_001895.1,NC_001895.1_1,,47,30858.0,1.0,,NC_049389.1,YP_009877298.1,hypothetical protein,Peduovirus P24E6b,31128.0,0.0,49,28.006
2481,NC_001895.1_1,VUD39016.1,69.0,42,12,1,1,41,1,42,6.1e-08,46.2,NC_001895.1,NC_001895.1_1,,47,30858.0,1.0,,LR595887.1,VUD39016.1,"hypothetical protein, partial",49.0,32848.0,0.0,Peduovirus P24A7b,28.98
2482,NC_001895.1_1,YP_009877342.1,69.0,42,12,1,1,41,1,42,6.1e-08,46.2,NC_001895.1,NC_001895.1_1,,47,30858.0,1.0,,NC_049390.1,YP_009877342.1,hypothetical protein,Peduovirus P24A7b,32848.0,0.0,49,28.98
2483,NC_001895.1_2,AAD03268.1,100.0,344,0,0,1,344,1,344,5.52e-256,697.0,NC_001895.1,NC_001895.1_2,,345,30858.0,1.0,,AF063097.1,AAD03268.1,gpQ,344.0,33593.0,0.0,Bacteriophage P2,344.0
2484,NC_001895.1_2,NP_046757.1,100.0,344,0,0,1,344,1,344,5.52e-256,697.0,NC_001895.1,NC_001895.1_2,,345,30858.0,1.0,,NC_001895.1,NP_046757.1,portal protein,Bacteriophage P2,33593.0,0.0,344,344.0
2485,NC_001895.1_2,YP_010663930.1,99.7,343,1,0,1,343,1,343,3.72e-254,692.0,NC_001895.1,NC_001895.1_2,,345,30858.0,1.0,,NC_070908.1,YP_010663930.1,portal vertex protein,Yersinia phage HQ103,31962.0,0.0,344,341.971
2486,NC_001895.1_2,AAP04438.1,99.4,343,2,0,1,343,1,343,7.52e-254,691.0,NC_001895.1,NC_001895.1_2,,345,30858.0,1.0,,AY251033.1,AAP04438.1,gpQ,344.0,30728.0,0.0,Peduovirus L413C,340.942
2487,NC_001895.1_2,NP_839850.1,99.4,343,2,0,1,343,1,343,7.52e-254,691.0,NC_001895.1,NC_001895.1_2,,345,30858.0,1.0,,NC_004745.1,NP_839850.1,portal protein,Yersinia phage L-413C,30728.0,0.0,344,340.942
2488,NC_001895.1_3,AAD03269.1,100.0,590,0,0,1,590,1,590,0.0,1175.0,NC_001895.1,NC_001895.1_3,,591,30858.0,1.0,,AF063097.1,AAD03269.1,gpP,590.0,33593.0,0.0,Bacteriophage P2,590.0
2489,NC_001895.1_3,VUD38007.1,100.0,590,0,0,1,590,1,590,0.0,1175.0,NC_001895.1,NC_001895.1_3,,591,30858.0,1.0,,LR595873.1,VUD38007.1,"Phage TermL, terminase large subunit",590.0,32118.0,0.0,Peduovirus P24B2,590.0
2490,NC_001895.1_3,VUD38856.1,100.0,590,0,0,1,590,1,590,0.0,1175.0,NC_001895.1,NC_001895.1_3,,591,30858.0,1.0,,LR595885.1,VUD38856.1,"Phage terminase, ATPase subunit",590.0,31128.0,0.0,Peduovirus P24E6b,590.0
2491,NC_001895.1_3,QKE55626.1,100.0,590,0,0,1,590,1,590,0.0,1175.0,NC_001895.1,NC_001895.1_3,,591,30858.0,1.0,,MT374858.1,QKE55626.1,hypothetical protein vBYpM50_00005,590.0,31096.0,0.0,Yersinia phage vB_YpM_50,590.0
2492,NC_001895.1_3,NP_046758.1,100.0,590,0,0,1,590,1,590,0.0,1175.0,NC_001895.1,NC_001895.1_3,,591,30858.0,1.0,,NC_001895.1,NP_046758.1,terminase large subunit,Bacteriophage P2,33593.0,0.0,590,590.0
2493,NC_001895.1_4,AAD03270.1,100.0,284,0,0,1,284,1,284,1.97e-187,518.0,NC_001895.1,NC_001895.1_4,,285,30858.0,1.0,,AF063097.1,AAD03270.1,gpO,284.0,33593.0,0.0,Bacteriophage P2,284.0
2494,NC_001895.1_4,AAP04440.1,100.0,284,0,0,1,284,1,284,1.97e-187,518.0,NC_001895.1,NC_001895.1_4,,285,30858.0,1.0,,AY251033.1,AAP04440.1,gpO,284.0,30728.0,0.0,Peduovirus L413C,284.0
2495,NC_001895.1_4,AKH49343.1,100.0,284,0,0,1,284,1,284,1.97e-187,518.0,NC_001895.1,NC_001895.1_4,,285,30858.0,1.0,,KR073660.1,AKH49343.1,capsid scaffolding protein,284.0,32675.0,0.0,Escherichia phage pro147,284.0
2496,NC_001895.1_4,QKE55627.1,100.0,284,0,0,1,284,1,284,1.97e-187,518.0,NC_001895.1,NC_001895.1_4,,285,30858.0,1.0,,MT374858.1,QKE55627.1,hypothetical protein vBYpM50_00006,284.0,31096.0,0.0,Yersinia phage vB_YpM_50,284.0
2497,NC_001895.1_4,NP_046759.1,100.0,284,0,0,1,284,1,284,1.97e-187,518.0,NC_001895.1,NC_001895.1_4,,285,30858.0,1.0,,NC_001895.1,NP_046759.1,head scaffolding protein,Bacteriophage P2,33593.0,0.0,284,284.0
2498,NC_001895.1_5,AAD03271.1,100.0,357,0,0,1,357,1,357,5.54e-258,703.0,NC_001895.1,NC_001895.1_5,,358,30858.0,1.0,,AF063097.1,AAD03271.1,gpN,357.0,33593.0,0.0,Bacteriophage P2,357.0
2499,NC_001895.1_5,NP_046760.1,100.0,357,0,0,1,357,1,357,5.54e-258,703.0,NC_001895.1,NC_001895.1_5,,358,30858.0,1.0,,NC_001895.1,NP_046760.1,major capsid protein- P2 family,Bacteriophage P2,33593.0,0.0,357,357.0
2500,NC_001895.1_5,QKE55584.1,99.7,357,1,0,1,357,1,357,7.869999999999999e-258,702.0,NC_001895.1,NC_001895.1_5,,358,30858.0,1.0,,MT374857.1,QKE55584.1,hypothetical protein vBYpM46_00004,357.0,32336.0,0.0,Yersinia phage vB_YpM_46,355.929
2501,NC_001895.1_5,YP_010107773.1,99.7,357,1,0,1,357,1,357,7.869999999999999e-258,702.0,NC_001895.1,NC_001895.1_5,,358,30858.0,1.0,,NC_055845.1,YP_010107773.1,major capsid protein- P2 family,Yersinia phage vB_YpM_46,32336.0,0.0,357,355.929
2502,NC_001895.1_5,YP_010663933.1,99.7,357,1,0,1,357,1,357,3.2000000000000002e-257,701.0,NC_001895.1,NC_001895.1_5,,358,30858.0,1.0,,NC_070908.1,YP_010663933.1,major head protein,Yersinia phage HQ103,31962.0,0.0,357,355.929
2503,NC_001895.1_6,AAD03272.1,100.0,247,0,0,1,247,1,247,3.71e-169,469.0,NC_001895.1,NC_001895.1_6,,248,30858.0,1.0,,AF063097.1,AAD03272.1,gpM,247.0,33593.0,0.0,Bacteriophage P2,247.00000000000003
2504,NC_001895.1_6,NP_046761.1,100.0,247,0,0,1,247,1,247,3.71e-169,469.0,NC_001895.1,NC_001895.1_6,,248,30858.0,1.0,,NC_001895.1,NP_046761.1,terminase small subunit,Bacteriophage P2,33593.0,0.0,247,247.00000000000003
2505,NC_001895.1_6,API82940.1,99.2,247,2,0,1,247,1,247,2.5e-167,464.0,NC_001895.1,NC_001895.1_6,,248,30858.0,1.0,,KX833211.1,API82940.1,Phage small terminase subunit,247.0,28946.0,0.0,Salmonella phage STYP1,245.02400000000003
2506,NC_001895.1_6,VUD37966.1,99.2,247,2,0,1,247,1,247,2.5e-167,464.0,NC_001895.1,NC_001895.1_6,,248,30858.0,1.0,,LR595870.1,VUD37966.1,"Phage terminase, endonuclease subunit",247.0,32662.0,0.0,Peduovirus P22H1,245.02400000000003
2507,NC_001895.1_6,VUD39487.1,99.2,247,2,0,1,247,1,247,2.5e-167,464.0,NC_001895.1,NC_001895.1_6,,248,30858.0,1.0,,LR595883.1,VUD39487.1,"Phage terminase, endonuclease subunit",247.0,32150.0,0.0,Peduovirus P24C9,245.02400000000003
2508,NC_001895.1_7,AAD03273.1,100.0,169,0,0,1,169,1,169,1.55e-118,335.0,NC_001895.1,NC_001895.1_7,,170,30858.0,1.0,,AF063097.1,AAD03273.1,gpL,169.0,33593.0,0.0,Bacteriophage P2,169.0
2509,NC_001895.1_7,AKH49378.1,100.0,169,0,0,1,169,1,169,1.55e-118,335.0,NC_001895.1,NC_001895.1_7,,170,30858.0,1.0,,KR073661.1,AKH49378.1,head completion-stabilization protein,169.0,29237.0,0.0,Escherichia phage pro483,169.0
2510,NC_001895.1_7,VUD38011.1,100.0,169,0,0,1,169,1,169,1.55e-118,335.0,NC_001895.1,NC_001895.1_7,,170,30858.0,1.0,,LR595873.1,VUD38011.1,Ad1 Phage adapter protein,169.0,32118.0,0.0,Peduovirus P24B2,169.0
2511,NC_001895.1_7,WFG40972.1,100.0,169,0,0,1,169,1,169,1.55e-118,335.0,NC_001895.1,NC_001895.1_7,,170,30858.0,1.0,,OQ383618,WFG40972.1,head-tail adaptor,169,31582.0,0.0,Salmonella phage MET_P1_103_31,169.0
2512,NC_001895.1_7,NP_046762.1,100.0,169,0,0,1,169,1,169,1.55e-118,335.0,NC_001895.1,NC_001895.1_7,,170,30858.0,1.0,,NC_001895.1,NP_046762.1,head-tail adaptor Ad1,Bacteriophage P2,33593.0,0.0,169,169.0
2513,NC_001895.1_8,AAD03274.1,100.0,67,0,0,1,67,1,67,7.65e-44,138.0,NC_001895.1,NC_001895.1_8,,68,30858.0,1.0,,AF063097.1,AAD03274.1,gpX,67.0,33593.0,0.0,Bacteriophage P2,67.0
2514,NC_001895.1_8,AKH49379.1,100.0,67,0,0,1,67,1,67,7.65e-44,138.0,NC_001895.1,NC_001895.1_8,,68,30858.0,1.0,,KR073661.1,AKH49379.1,tail completion protein,67.0,29237.0,0.0,Escherichia phage pro483,67.0
2515,NC_001895.1_8,VUD37925.1,100.0,67,0,0,1,67,1,67,7.65e-44,138.0,NC_001895.1,NC_001895.1_8,,68,30858.0,1.0,,LR595869.1,VUD37925.1,Phage tail completion protein,67.0,31342.0,0.0,Peduovirus P22H4,67.0
2516,NC_001895.1_8,VUD37968.1,100.0,67,0,0,1,67,1,67,7.65e-44,138.0,NC_001895.1,NC_001895.1_8,,68,30858.0,1.0,,LR595870.1,VUD37968.1,Tail component protein (Fragment),67.0,32662.0,0.0,Peduovirus P22H1,67.0
2517,NC_001895.1_8,VUD38012.1,100.0,67,0,0,1,67,1,67,7.65e-44,138.0,NC_001895.1,NC_001895.1_8,,68,30858.0,1.0,,LR595873.1,VUD38012.1,Phage protein,67.0,32118.0,0.0,Peduovirus P24B2,67.0
2518,NC_001895.1_9,AAD03275.1,100.0,93,0,0,1,93,1,93,1.09e-57,175.0,NC_001895.1,NC_001895.1_9,,94,30858.0,1.0,,AF063097.1,AAD03275.1,gpY,93.0,33593.0,0.0,Bacteriophage P2,93.0
2519,NC_001895.1_9,AAN28226.1,100.0,93,0,0,1,93,1,93,1.09e-57,175.0,NC_001895.1,NC_001895.1_9,,94,30858.0,1.0,,AY135739.1,AAN28226.1,gpY,93.0,32684.0,0.0,Escherichia phage Wphi,93.0
2520,NC_001895.1_9,AGX84574.1,100.0,93,0,0,1,93,1,93,1.09e-57,175.0,NC_001895.1,NC_001895.1_9,,94,30858.0,1.0,,KF322032.1,AGX84574.1,holin,93.0,33628.0,0.0,Enterobacteria phage fiAA91-ss,93.0
2521,NC_001895.1_9,AKH49338.1,100.0,93,0,0,1,93,1,93,1.09e-57,175.0,NC_001895.1,NC_001895.1_9,,94,30858.0,1.0,,KR073660.1,AKH49338.1,holin,93.0,32675.0,0.0,Escherichia phage pro147,93.0
2522,NC_001895.1_9,API82943.1,100.0,93,0,0,1,93,1,93,1.09e-57,175.0,NC_001895.1,NC_001895.1_9,,94,30858.0,1.0,,KX833211.1,API82943.1,Phage holin family 2,93.0,28946.0,0.0,Salmonella phage STYP1,93.0
2523,NC_001895.1_10,AAD03276.1,100.0,165,0,0,1,165,1,165,5.91e-121,340.0,NC_001895.1,NC_001895.1_10,,166,30858.0,1.0,,AF063097.1,AAD03276.1,gpK,165.0,33593.0,0.0,Bacteriophage P2,165.0
