qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,protein_ncbi_acc,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,ASR75563.1,79.8,84,17,0,1,84,1,84,2.33e-47,147.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75563.1,hypothetical protein SEA_MILDRED21_201,Streptomyces phage Mildred21,86.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,QJD50910.1,81.0,84,16,0,1,84,1,84,2.4e-47,147.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50910.1,hypothetical protein SEA_BMOC_197,Streptomyces phage Bmoc,87.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,QDK03008.1,79.8,84,17,0,1,84,1,84,1.3899999999999999e-46,145.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK03008.1,hypothetical protein SEA_BRAELYN_189,Streptomyces phage Braelyn,87.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,ASR77415.1,78.6,84,18,0,1,84,1,84,2.3e-46,145.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77415.1,hypothetical protein SEA_NOOTNOOT_188,Streptomyces phage NootNoot,92.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,ASR77618.1,78.6,84,18,0,1,84,1,84,3.99e-46,144.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77618.1,hypothetical protein SEA_PARADIDDLES_185,Streptomyces phage Paradiddles,87.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AXH69691.1,76.7,86,20,0,1,86,1,86,5.67e-46,144.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH69691.1,hypothetical protein SEA_LUKECAGE_204,Streptomyces phage LukeCage,87.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AYB70999.1,74.4,86,22,0,1,86,1,86,1.15e-45,143.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AYB70999.1,hypothetical protein SEA_YABOI_202,Streptomyces phage Yaboi,87.0,MH727564.1,131250.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Yaboi,E,Streptomyces phage Yaboi,,,MH727564,NC_048730,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AXH66917.1,75.3,85,21,0,1,85,1,85,1.3e-44,140.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH66917.1,hypothetical protein SEA_STARPLATINUM_208,Streptomyces phage StarPlatinum,86.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AXH70025.1,72.1,86,24,0,1,86,1,86,5.45e-44,139.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH70025.1,hypothetical protein SEA_KARIMAC_202,Streptomyces phage Karimac,87.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AXH49254.1,62.0,79,30,0,7,85,3,81,1.4e-32,110.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH49254.1,hypothetical protein SEA_BLUEEYEDBEAUTY_133,Streptomyces phage Blueeyedbeauty,85.0,MH536814.1,130473.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus blueeyedbeauty,E,Streptomyces phage Blueeyedbeauty,,,MH536814,NC_048720,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AXG66223.1,60.8,79,31,0,7,85,3,81,5.7e-32,108.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXG66223.1,hypothetical protein SEA_ANNADREAMY_126,Streptomyces phage Annadreamy,85.0,MH536811.1,125726.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus annadreamy,E,Streptomyces phage Annadreamy,,,MH536811,NC_048719,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AZU97199.1,58.3,84,35,0,1,84,1,84,8.6e-31,106.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AZU97199.1,hypothetical protein SEA_GILSON_142,Streptomyces phage Gilson,94.0,MK061412.1,128338.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus gilson,E,Streptomyces phage Gilson,,,MK061412,NC_048742,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AVD99334.1,57.0,79,34,0,7,85,3,81,8.68e-31,105.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AVD99334.1,hypothetical protein SEA_BILLNYE_161,Streptomyces phage BillNye,82.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AXQ63383.1,55.7,79,35,0,7,85,3,81,1.2799999999999999e-28,100.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXQ63383.1,hypothetical protein SEA_COMRADE_135,Streptomyces phage Comrade,85.0,MH651172.1,129015.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus comrade,E,Streptomyces phage Comrade,,,MH651172,NC_048728,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,QBP30941.1,80.8,52,10,0,1,52,1,52,3.0899999999999998e-28,98.6,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP30941.1,hypothetical protein SEA_EGOLE_196,Streptomyces phage EGole,52.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,QBZ72764.1,42.9,77,44,0,8,84,13,89,8.21e-19,75.9,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBZ72764.1,hypothetical protein SEA_GODONK_176,Gordonia phage GodonK,91.0,MK620899.1,122563.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Godonkavirus,,Godonkavirus godonK,E,Gordonia phage GodonK,,,MK620899,NC_048176,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_75,AXH66918.1,49.2,63,31,1,1,62,1,63,8.47e-18,72.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH66918.1,hypothetical protein SEA_STARPLATINUM_209,Streptomyces phage StarPlatinum,70.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,QBP30942.1,75.5,363,79,1,1,353,1,363,5.64e-201,558.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP30942.1,RNA ligase,Streptomyces phage EGole,366.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,ASR75565.1,74.9,363,81,1,1,353,1,363,1.61e-200,557.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR75565.1,RNA ligase,Streptomyces phage Mildred21,366.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,ASR77856.1,75.5,363,79,1,1,353,1,363,4.6200000000000005e-200,556.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77856.1,RNA ligase,Streptomyces phage Peebs,366.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AST15387.1,75.5,363,79,1,1,353,1,363,4.6200000000000005e-200,556.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15387.1,RNA ligase,Streptomyces phage Samisti12,366.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,ASR77416.1,74.0,365,85,1,1,355,1,365,2.57e-199,554.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77416.1,RNA ligase,Streptomyces phage NootNoot,365.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,QGH76459.1,74.4,363,83,1,1,353,1,363,5.37e-199,553.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76459.1,RNA ligase,Streptomyces phage Daubenski,366.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,ASR77619.1,73.7,365,86,1,1,355,1,365,1.04e-198,553.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77619.1,RNA ligase,Streptomyces phage Paradiddles,365.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,QDK03009.1,73.7,365,86,1,1,355,1,365,1.04e-198,553.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK03009.1,RNA ligase,Streptomyces phage Braelyn,365.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,QDH94024.1,74.9,363,81,1,1,353,1,363,3.1000000000000002e-198,551.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94024.1,RNA ligase,Streptomyces phage Evy,366.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AIW02657.1,74.7,363,82,1,1,353,1,363,2.5399999999999997e-197,549.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02657.1,RNA ligase,Streptomyces phage Jay2Jay,366.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,QJD50911.1,71.9,363,92,1,1,353,1,363,5.39e-192,536.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50911.1,RNA ligase,Streptomyces phage Bmoc,366.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXH70027.1,73.5,351,93,0,1,351,1,351,1.9e-190,531.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH70027.1,RNA ligase,Streptomyces phage Karimac,358.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AYB71003.1,71.5,351,100,0,1,351,1,351,1.04e-187,525.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AYB71003.1,RNA ligase,Streptomyces phage Yaboi,358.0,MH727564.1,131250.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Yaboi,E,Streptomyces phage Yaboi,,,MH727564,NC_048730,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXH66920.1,70.4,351,104,0,1,351,1,351,1.64e-184,516.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH66920.1,RNA ligase,Streptomyces phage StarPlatinum,358.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXH69694.1,70.1,351,105,0,1,351,1,351,2.32e-184,516.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH69694.1,RNA ligase,Streptomyces phage LukeCage,358.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXH67344.1,69.9,355,107,0,1,355,1,355,6.93e-183,512.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH67344.1,RNA ligase,Streptomyces phage Wollford,355.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AVD99338.1,53.9,345,153,5,4,345,5,346,1.38e-121,357.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AVD99338.1,RNA ligase,Streptomyces phage BillNye,351.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AZU97206.1,49.6,355,165,7,4,348,5,355,5.33e-107,320.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AZU97206.1,RNA ligase,Streptomyces phage Gilson,355.0,MK061412.1,128338.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus gilson,E,Streptomyces phage Gilson,,,MK061412,NC_048742,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXG66227.1,47.7,346,175,5,6,348,7,349,2.5e-106,318.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXG66227.1,RNA ligase,Streptomyces phage Annadreamy,349.0,MH536811.1,125726.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus annadreamy,E,Streptomyces phage Annadreamy,,,MH536811,NC_048719,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXH49260.1,48.3,346,173,5,6,348,7,349,2.5e-106,318.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXH49260.1,RNA ligase,Streptomyces phage Blueeyedbeauty,349.0,MH536814.1,130473.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus blueeyedbeauty,E,Streptomyces phage Blueeyedbeauty,,,MH536814,NC_048720,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AXQ63391.1,48.6,346,166,7,12,348,4,346,3.11e-101,305.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AXQ63391.1,RNA ligase,Streptomyces phage Comrade,346.0,MH651172.1,129015.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Gilsonvirus,,Gilsonvirus comrade,E,Streptomyces phage Comrade,,,MH651172,NC_048728,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,APC46427.1,38.3,358,205,9,1,345,1,355,5.4499999999999995e-68,220.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,APC46427.1,RNA ligase,Streptomyces phage BRock,359.0,KX925554.1,112523.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Borockvirus,,Borockvirus brock,E,Streptomyces phage BRock,,,KX925554,NC_048650,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AGY47134.1,39.6,356,172,16,10,345,12,344,5.83e-47,165.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,AGY47134.1,RNA ligase,Clavibacter phage CN1A,344.0,KF669650.1,56789.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Cinunavirus,,Cinunavirus CN1A,E,Clavibbacter phage CN1A,,,KF669650,NC_023549,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,ASX99289.1,33.2,379,190,18,5,353,6,351,3.3300000000000003e-36,137.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASX99289.1,RNA ligase,Arthrobacter phage Molivia,358.0,MF185731.1,58247.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Amigovirus,,Amigovirus molivia,E,Arthrobacter phage Molivia,,,MF185731,NC_042001,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,ALY08414.1,30.0,363,221,11,5,353,8,351,8.91e-32,125.0,AT10B_S15_NODE_1_length_45468_cov_7,103329,ALY08414.1,RNA ligase,Arthrobacter phage Amigo,357.0,KU160638.1,59173.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Amigovirus,,Amigovirus amigo,E,Arthrobacter phage Amigo,,,KU160638,NC_041949,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,QJD50912.1,71.1,45,13,0,1,45,1,45,2.27e-16,66.6,AT10B_S15_NODE_1_length_45468_cov_7,103329,QJD50912.1,membrane protein,Streptomyces phage Bmoc,45.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,ASR77621.1,64.4,45,16,0,1,45,1,45,7.65e-15,62.8,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77621.1,hypothetical protein SEA_PARADIDDLES_188,Streptomyces phage Paradiddles,45.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,ASR77418.1,62.2,45,17,0,1,45,1,45,2.2e-14,61.6,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77418.1,hypothetical protein SEA_NOOTNOOT_191,Streptomyces phage NootNoot,45.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,QGH76460.1,64.4,45,16,0,1,45,1,45,2.2e-14,61.6,AT10B_S15_NODE_1_length_45468_cov_7,103329,QGH76460.1,hypothetical protein SEA_DAUBENSKI_188,Streptomyces phage Daubenski,45.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,AIW02658.1,62.2,45,17,0,1,45,1,45,3.12e-14,61.2,AT10B_S15_NODE_1_length_45468_cov_7,103329,AIW02658.1,hypothetical protein PBI_JAY2JAY_200,Streptomyces phage Jay2Jay,45.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,AST15388.1,60.0,45,18,0,1,45,1,45,3.12e-14,61.2,AT10B_S15_NODE_1_length_45468_cov_7,103329,AST15388.1,hypothetical protein SEA_SAMISTI12_198,Streptomyces phage Samisti12,45.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,QBP30943.1,60.0,45,18,0,1,45,1,45,3.12e-14,61.2,AT10B_S15_NODE_1_length_45468_cov_7,103329,QBP30943.1,hypothetical protein SEA_EGOLE_198,Streptomyces phage EGole,45.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,QDH94025.1,62.2,45,17,0,1,45,1,45,3.12e-14,61.2,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDH94025.1,hypothetical protein SEA_EVY_188,Streptomyces phage Evy,45.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,QDK03011.1,62.2,45,17,0,1,45,1,45,3.12e-14,61.2,AT10B_S15_NODE_1_length_45468_cov_7,103329,QDK03011.1,hypothetical protein SEA_BRAELYN_192,Streptomyces phage Braelyn,45.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_77,ASR77857.1,57.8,45,19,0,1,45,1,45,1.27e-13,59.7,AT10B_S15_NODE_1_length_45468_cov_7,103329,ASR77857.1,hypothetical protein SEA_PEEBS_192,Streptomyces phage Peebs,45.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
