qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,sseqid_ID,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,QGH76433.1,63.9,61,22,0,1,61,1,61,3.6800000000000005e-27,95.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76433.1,hypothetical protein SEA_DAUBENSKI_143,Streptomyces phage Daubenski,62.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,QJD50879.1,60.7,61,24,0,1,61,1,61,7.420000000000001e-27,94.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50879.1,hypothetical protein SEA_BMOC_147,Streptomyces phage Bmoc,62.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,AST15358.1,70.4,54,16,0,8,61,4,57,1.92e-26,93.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15358.1,hypothetical protein SEA_SAMISTI12_145,Streptomyces phage Samisti12,58.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,QBP30918.1,70.4,54,16,0,8,61,4,57,1.92e-26,93.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30918.1,hypothetical protein SEA_EGOLE_146,Streptomyces phage EGole,58.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,ASR77829.1,70.4,54,16,0,8,61,9,62,2.19e-26,93.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77829.1,hypothetical protein SEA_PEEBS_141,Streptomyces phage Peebs,63.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,AXH69998.1,50.0,54,26,1,1,53,3,56,3.42e-13,59.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69998.1,hypothetical protein SEA_KARIMAC_151,Streptomyces phage Karimac,56.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,AXH66886.1,48.1,54,27,1,1,53,3,56,1.39e-12,58.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66886.1,hypothetical protein SEA_STARPLATINUM_156,Streptomyces phage StarPlatinum,56.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_50,AXH69659.1,48.1,54,27,1,1,53,3,56,1.39e-12,58.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69659.1,hypothetical protein SEA_LUKECAGE_152,Streptomyces phage LukeCage,56.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,QBP30919.1,85.8,183,24,1,1,181,1,183,1.34e-112,320.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30919.1,peptidase,Streptomyces phage EGole,183.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,ASR75537.1,87.2,179,21,1,1,177,1,179,1.83e-112,320.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75537.1,hypothetical protein SEA_MILDRED21_153,Streptomyces phage Mildred21,182.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,QGH76434.1,84.2,183,27,1,1,181,1,183,5.4399999999999995e-112,318.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76434.1,peptidase,Streptomyces phage Daubenski,183.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AXH69999.1,84.7,183,26,1,1,181,1,183,7.73e-112,318.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69999.1,peptidase,Streptomyces phage Karimac,183.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AXH66888.1,84.8,184,25,2,1,181,1,184,2.29e-111,317.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66888.1,peptidase,Streptomyces phage StarPlatinum,184.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AXH69660.1,84.8,184,25,2,1,181,1,184,6.57e-111,316.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69660.1,peptidase,Streptomyces phage LukeCage,184.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,ASR77391.1,83.6,183,28,1,1,181,1,183,5.21e-110,313.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77391.1,hypothetical protein SEA_NOOTNOOT_143,Streptomyces phage NootNoot,183.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,QDK02984.1,83.1,183,29,1,1,181,1,183,1.0500000000000001e-109,313.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK02984.1,peptidase,Streptomyces phage Braelyn,183.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,QDH93995.1,82.5,183,30,1,1,181,1,183,3.52e-108,309.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDH93995.1,peptidase,Streptomyces phage Evy,183.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AIW02631.1,82.5,183,30,1,1,181,12,194,5.1499999999999996e-108,309.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02631.1,hypothetical protein PBI_JAY2JAY_152,Streptomyces phage Jay2Jay,194.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AYB70970.1,82.6,184,29,2,1,181,1,184,1.0400000000000001e-107,308.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AYB70970.1,hypothetical protein SEA_YABOI_154,Streptomyces phage Yaboi,184.0,MH727564.1,131250.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Yaboi,E,Streptomyces phage Yaboi,,,MH727564,NC_048730,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,QJD50880.1,83.8,179,27,1,1,177,1,179,3.96e-107,306.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50880.1,peptidase,Streptomyces phage Bmoc,182.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AXH67312.1,82.6,184,29,2,1,181,1,184,1.2199999999999999e-106,305.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67312.1,peptidase,Streptomyces phage Wollford,184.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,ASR77830.1,84.1,157,25,0,25,181,1,157,3.6899999999999996e-95,275.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77830.1,hypothetical protein SEA_PEEBS_144,Streptomyces phage Peebs,157.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AST15359.1,84.1,157,25,0,25,181,1,157,3.6899999999999996e-95,275.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15359.1,hypothetical protein SEA_SAMISTI12_148,Streptomyces phage Samisti12,157.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,ASR77601.1,82.2,157,28,0,25,181,1,157,1.4399999999999999e-92,268.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77601.1,hypothetical protein SEA_PARADIDDLES_142,Streptomyces phage Paradiddles,157.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AVD99294.1,59.6,166,58,2,1,166,1,157,1.87e-63,195.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AVD99294.1,peptidase,Streptomyces phage BillNye,171.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,APC46437.1,43.6,133,69,1,34,166,7,133,2.4099999999999998e-30,110.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,APC46437.1,hypothetical protein,Streptomyces phage BRock,145.0,KX925554.1,112523.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Borockvirus,,Borockvirus brock,E,Streptomyces phage BRock,,,KX925554,NC_048650,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_51,AZS06703.1,42.0,174,86,4,8,166,16,189,6.59e-30,110.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AZS06703.1,peptidase,Streptomyces phage Hiyaa,195.0,MK279841.1,83219.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Hiyaavirus,,Hiyaavirus hiyaa,E,Streptomyces phage Hiyaa,,,MK279841,NC_048139,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_52,ASR77392.1,45.9,74,35,3,1,69,1,74,6.67e-13,59.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77392.1,hypothetical protein SEA_NOOTNOOT_144,Streptomyces phage NootNoot,74.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_52,ASR77602.1,43.2,74,37,2,1,69,1,74,1.34e-12,58.9,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77602.1,hypothetical protein SEA_PARADIDDLES_143,Streptomyces phage Paradiddles,74.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_52,QBP31022.1,53.8,65,25,3,9,68,1,65,6.37e-12,57.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP31022.1,hypothetical protein SEA_EGOLE_150,Streptomyces phage EGole,66.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_52,QDK03085.1,45.5,66,31,3,9,69,1,66,1.05e-10,53.9,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03085.1,hypothetical protein SEA_BRAELYN_149,Streptomyces phage Braelyn,66.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_52,ASR75538.1,49.2,61,26,3,9,64,1,61,1.11e-09,51.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75538.1,hypothetical protein SEA_MILDRED21_154,Streptomyces phage Mildred21,62.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,QAY03515.1,34.9,129,64,4,6,134,7,115,1.39e-16,73.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,QAY03515.1,hypothetical protein SEA_CICHOLASNAGE_103,Mycobacterium phage CicholasNage,122.0,MK310144.1,71059.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Vilmaviridae,Lclasvirinae,Bronvirus,,Bronvirus cicholasnage,E,Mycobacterium phage CicholasNage,,,MK310144,NC_055786,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,AOV59126.1,42.7,82,43,2,5,83,6,86,9.62e-16,70.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AOV59126.1,hypothetical protein C421010_143,Synechococcus phage S-CAM3,103.0,KU686199.1,198190.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Charybdisvirus,,Charybdisvirus scam3,E,Synechococcus phage S-CAM3,,,KU686199,NC_031906,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_112,AOV59126.1,46.4,56,30,0,76,131,32,87,4.52e-09,53.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,AOV59126.1,hypothetical protein C421010_143,Synechococcus phage S-CAM3,103.0,KU686199.1,198190.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Charybdisvirus,,Charybdisvirus scam3,E,Synechococcus phage S-CAM3,,,KU686199,NC_031906,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,ADO99658.1,36.3,91,54,2,1,88,1,90,1.48e-14,67.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,ADO99658.1,hypothetical protein Syn33_125,Prochlorococcus phage Syn33,102.0,GU071108.1,174285.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Brizovirus,,Brizovirus syn33,E,Prochlorococcus phage Syn33,,,GU071108,NC_015285,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_112,ADO99658.1,37.1,70,44,0,65,134,20,89,8.07e-10,55.1,AT10B_S2_NODE_1_length_122269_cov_11,103329,ADO99658.1,hypothetical protein Syn33_125,Prochlorococcus phage Syn33,102.0,GU071108.1,174285.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Brizovirus,,Brizovirus syn33,E,Prochlorococcus phage Syn33,,,GU071108,NC_015285,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,QDK02991.1,33.3,132,67,5,2,130,4,117,5e-14,66.6,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK02991.1,HNH endonuclease,Streptomyces phage Braelyn,124.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,ASR75515.1,41.0,83,42,2,4,86,8,83,2.09e-13,65.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75515.1,HNH endonuclease,Streptomyces phage Mildred21,142.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,AOO15817.1,39.1,69,38,2,23,88,2,69,3.04e-12,60.8,AT10B_S2_NODE_1_length_122269_cov_11,103329,AOO15817.1,hypothetical protein RW010310_116,Cyanophage S-RIM12 isolate RW_01_0310,81.0,KX349310.1,174670.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Brizovirus,,Brizovirus rhodeisland01,E,Cyanophage S-RIM12 isolate RW_01_0310,,,KX349310,NC_047715,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_112,AOO15817.1,40.7,59,35,0,76,134,10,68,1.94e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AOO15817.1,hypothetical protein RW010310_116,Cyanophage S-RIM12 isolate RW_01_0310,81.0,KX349310.1,174670.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Kyanoviridae,,Brizovirus,,Brizovirus rhodeisland01,E,Cyanophage S-RIM12 isolate RW_01_0310,,,KX349310,NC_047715,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,AAN16810.1,34.1,132,60,6,5,133,8,115,5.05e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AAN16810.1,hypothetical protein PBI_BXZ1_167,Mycobacterium phage Bxz1,122.0,AY129337.1,156102.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus Bxz1,E,Mycobacterium phage Bxz1,,,AY129337,NC_004687,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,AEK06628.1,34.1,132,60,6,5,133,10,117,5.26e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AEK06628.1,hypothetical protein PBI_SEBATA_172,Mycobacterium phage Sebata,124.0,JN204348.1,155286.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus sebata,E,Mycobacterium phage Sebata,,,JN204348,NC_041993,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,AGM13113.1,34.1,132,60,6,5,133,10,117,5.26e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AGM13113.1,hypothetical protein PBI_ASTRAEA_167,Mycobacterium phage Astraea,124.0,KC691257.1,154872.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus astraea,E,Mycobacterium phage Astraea,,,KC691257,NC_021349,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,ALA48338.1,34.1,132,60,6,5,133,10,117,5.26e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,ALA48338.1,HNH endonuclease,Mycobacterium phage HyRo,124.0,KT281790.1,153714.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus hyro,E,Mycobacterium phage HyRo,,,KT281790,NC_028869,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,QNJ59024.1,34.1,132,60,6,5,133,10,117,5.26e-09,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,QNJ59024.1,HNH endonuclease,Mycobacterium phage Quasimodo,124.0,MT723945.1,156354.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus quasimodo,E,Mycobacterium phage Quasimodo,,,MT723945,NC_054721,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_54,ARB12561.1,39.0,59,33,2,40,98,3,58,4.88e-06,44.3,AT10B_S2_NODE_1_length_122269_cov_11,103329,ARB12561.1,hypothetical protein BIS47_57,Klebsiella phage vB_KpnM_BIS47,65.0,KY652726.1,147443.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Vequintavirinae,Mydovirus,,Mydovirus BIS47,E,Klebsiella phage vB_KpnM_BIS47,,,KY652726,NC_048656,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_55,ASR77834.1,77.8,54,12,0,1,54,1,54,3.6e-24,87.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77834.1,hypothetical protein SEA_PEEBS_151,Streptomyces phage Peebs,54.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_55,AST15364.1,77.8,54,12,0,1,54,1,54,3.6e-24,87.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15364.1,hypothetical protein SEA_SAMISTI12_155,Streptomyces phage Samisti12,54.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_55,QBP31023.1,75.9,54,13,0,1,54,1,54,2.97e-23,84.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP31023.1,hypothetical protein SEA_EGOLE_156,Streptomyces phage EGole,54.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria
AT10B_S2_NODE_1_length_122269_cov_11.242561_55,AIW02635.1,74.1,54,14,0,1,54,1,54,4.2199999999999997e-23,84.3,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02635.1,hypothetical protein PBI_JAY2JAY_158,Streptomyces phage Jay2Jay,54.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria
