genome_ID	genome_length	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	classified
AP009363.1	47342.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Triavirus		Triavirus tv2958PVL	E	Staphylococcus phage phi2958PVL			AP009363	NC_011344	Complete genome	dsDNA	bacteria	1.0
AY954956.1	43095.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Triavirus		Triavirus tv3a	E	Staphylococcus phage 3A			AY954956	NC_007053	Complete genome	dsDNA	bacteria	1.0
AY954955.1	45861.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Triavirus		Triavirus tv42e	E	Staphylococcus phage 42e			AY954955	NC_007052	Complete genome	dsDNA	bacteria	1.0
KJ028219.1	50781.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Trigintaduovirus		Trigintaduovirus 32HC	E	Mycobacterium phage 32HC			KJ028219	NC_023602	Complete genome	dsDNA	bacteria	1.0
MG770216.1	50832.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Trigintaduovirus		Trigintaduovirus rem711	E	Mycobacterium phage Rem711			MG770216	NC_051725	Complete genome	dsDNA	bacteria	1.0
MF668286.1	139262.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Trinavirus		Trinavirus trina	E	Rhodococcus phage Trina			MF668286	NC_042040	Complete genome	dsDNA	bacteria	1.0
MH271318.1	43758.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Trinevirus		Trinevirus trine	E	Gordonia phage Trine			MH271318	NC_047991	Complete genome	dsDNA	bacteria	1.0
MN234178.1	45507.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Triplejayvirus		Triplejayvirus tripleJ	E	Arthrobacter phage TripleJ			MN234178	NC_049470	Complete genome	dsDNA	bacteria	1.0
MF919490.1	53545.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus anselm	E	Mycobacterium phage Anselm			MF919490	NC_054805	Complete genome	dsDNA	bacteria	1.0
MK919472.1	53136.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus benvolio	E	Mycobacterium phage Benvolio			MK919472	NC_054806	Complete genome	dsDNA	bacteria	1.0
MN585998.1	49937.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus bugsy	E	Mycobacterium phage Bugsy			MN585998	NC_054807	Complete genome	dsDNA	bacteria	1.0
MK061408.1	53001.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus centaur	E	Mycobacterium phage Centaur			MK061408	NC_054808	Complete genome	dsDNA	bacteria	1.0
KU985093.1	53935.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus evilgenius	E	Mycobacterium phage EvilGenius			KU985093	NC_031263	Complete genome	dsDNA	bacteria	1.0
MH051252.1	52618.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus fameo	E	Mycobacterium phage Fameo			MH051252	NC_054809	Complete genome	dsDNA	bacteria	1.0
MT498066.1	53399.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus georgie2	E	Mycobacterium phage Georgie2			MT498066	NC_054810	Complete genome	dsDNA	bacteria	1.0
KY965065.1	53085.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus heffalump	E	Mycobacterium phage Heffalump			KY965065	NC_054811	Complete genome	dsDNA	bacteria	1.0
MF472896.1	53366.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus joshkayV	E	Mycobacterium phage JoshKayV			MF472896	NC_054812	Complete genome	dsDNA	bacteria	1.0
KM677210.1	52967.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus larenn	E	Mycobacterium phage Larenn			KM677210	NC_028877	Complete genome	dsDNA	bacteria	1.0
MK284522.1	53377.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus malec	E	Mycobacterium phage Malec			MK284522	NC_054813	Complete genome	dsDNA	bacteria	1.0
KM197169.1	52647.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus piro94	E	Mycobacterium phage Piro94			KM197169	NC_028794	Complete genome	dsDNA	bacteria	1.0
JN408460.1	53169.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Turbidovirus		Turbidovirus turbido	E	Mycobacterium phage Turbido			JN408460	NC_023707	Complete genome	dsDNA	bacteria	1.0
MK494099.1	75687.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Typhavirus		Typhavirus typha	E	Mycobacterium phage Typha			MK494099	NC_054393	Complete genome	dsDNA	bacteria	1.0
AY150271.2	39672.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Uetakevirus		Uetakevirus epsilon15	E	Salmonella phage Epsilon15			AY150271	NC_004775	Complete genome	dsDNA	bacteria	1.0
DQ126339.2	39104.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Uetakevirus		Uetakevirus phiV10	E	Escherichia phage phiV10			DQ126339	NC_007804	Complete genome	dsDNA	bacteria	1.0
JN391180.1	38684.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Uetakevirus		Uetakevirus SPN1S	E	Salmonella phage SPN1S			JN391180	NC_016761	Complete genome	dsDNA	bacteria	1.0
KY888143.2	30189.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Uwajimavirus		Uwajimavirus PLgW1	E	Lactococcus phage PLgW-1			KY888143	NC_055050	Complete genome	dsDNA	bacteria	1.0
MK450431.1	41267.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vashvirus		Vashvirus lilbooboo	E	Streptomyces phage Lilbooboo			MK450431	NC_048155	Complete genome	dsDNA	bacteria	1.0
MK450421.1	41578.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vashvirus		Vashvirus vash	E	Streptomyces phage Vash			MK450421	NC_048154	Complete genome	dsDNA	bacteria	1.0
JX567312.1	30910.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vedamuthuvirus		Vedamuthuvirus BM13	E	Lactococcus phage BM13			JX567312	NC_021861	Complete genome	dsDNA	bacteria	1.0
MN552144.1	31050.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vedamuthuvirus		Vedamuthuvirus P1045	E	Lactococcus phage P1045			MN552144	NC_049812	Complete genome	dsDNA	bacteria	1.0
JX564242.1	31106.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vedamuthuvirus		Vedamuthuvirus Q33	E	Lactococcus phage Q33			JX564242	NC_049809	Complete genome	dsDNA	bacteria	1.0
KX160206.1	30745.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vedamuthuvirus		Vedamuthuvirus vv50902	E	Lactococcus phage 50902			KX160206	NC_049810	Complete genome	dsDNA	bacteria	1.0
KX160211.1	30556.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vedamuthuvirus		Vedamuthuvirus vv62503	E	Lactococcus phage 62503			KX160211	NC_049811	Complete genome	dsDNA	bacteria	1.0
KX683423.1	50657.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus babyboy	E	Mycobacterium phage BabyRay			KX683423	NC_054772	Complete genome	dsDNA	bacteria	1.0
KC172839.1	45942.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus BTCU1	E	Mycobacterium phage BTCU-1			KC172839	NC_021533	Complete genome	dsDNA	bacteria	1.0
JF957058.1	50364.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus heldan	E	Mycobacterium phage HelDan			JF957058	NC_042328	Complete genome	dsDNA	bacteria	1.0
MT310879.1	47895.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus MA5	E	Mycobacterium phage MA5			MT310879	NC_054771	Complete genome	dsDNA	bacteria	1.0
KJ510415.1	50101.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus phantastic	E	Mycobacterium phage Phantastic			KJ510415	NC_024148	Complete genome	dsDNA	bacteria	1.0
MH047633.1	50006.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus pistachio	E	Mycobacterium phage Pistachio			MH047633	NC_054773	Complete genome	dsDNA	bacteria	1.0
JF704111.1	47780.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus rockstar	E	Mycobacterium phage Rockstar			JF704111	NC_042036	Complete genome	dsDNA	bacteria	1.0
MK524496.1	50062.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Veracruzvirus		Veracruzvirus veracruz	E	Mycobacterium phage Veracruz			MK524496	NC_054770	Complete genome	dsDNA	bacteria	1.0
JX556417.1	41351.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vhmlvirus		Vhmlvirus mar	E	Vibrio phage vB_VpaM_MAR			JX556417	NC_019722	Complete genome	dsDNA	bacteria	1.0
AY133112.1	43198.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vhmlvirus		Vhmlvirus VHML	E	Vibrio phage VHML			AY133112	NC_004456	Complete genome	dsDNA	bacteria	1.0
FN297812.1	42612.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vhmlvirus		Vhmlvirus VP585	E	Vibrio phage VP585			FN297812	NC_027981	Complete genome	dsDNA	bacteria	1.0
KR072689.1	38261.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vhulanivirus		Vhulanivirus Shpa	E	Paracoccus phage Shpa			KR072689	NC_041868	Complete genome	dsDNA	bacteria	1.0
MN096362.1	48201.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vibakivirus		Vibakivirus vibaki	E	Arthrobacter phage Vibaki			MN096362	NC_049465	Complete genome	dsDNA	bacteria	1.0
MG845684.1	45058.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vicosavirus		Vicosavirus NV1	E	Pseudomonas phage NV1			MG845684	NC_042107	Complete genome	dsDNA	bacteria	1.0
JX863101.2	45517.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vicosavirus		Vicosavirus UFVP2	E	Pseudomonas phage UFV-P2			JX863101	NC_018850	Complete genome	dsDNA	bacteria	1.0
MG948468.1	61437.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vidquintavirus		Vidquintavirus Vid5	E	Pantoea phage vB_PagS_Vid5			MG948468	NC_042120	Complete genome	dsDNA	bacteria	1.0
JX403940.1	45364.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vieuvirus		Vieuvirus B1251	E	Acinetobacter phage YMC/09/02/B1251			JX403940	NC_019541	Complete genome	dsDNA	bacteria	1.0
KP861230.1	47575.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vieuvirus		Vieuvirus R3177	E	Acinetobacter phage YMC11/11/R3177			KP861230	NC_041866	Complete genome	dsDNA	bacteria	1.0
MF919514.1	60237.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Gordonia virus Lennon	E	Gordonia phage Lennon			MF919514	NC_042045	Complete genome	dsDNA	bacteria	1.0
MH976507.1	58474.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus ailee	E	Gordonia phage Ailee			MH976507	NC_055773	Complete genome	dsDNA	bacteria	1.0
MH651166.1	59215.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus angelicage	E	Gordonia phage Angelicage			MH651166	NC_055762	Complete genome	dsDNA	bacteria	1.0
MT498035.1	59501.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus barsten	E	Gordonia phage Barsten			MT498035	NC_055856	Complete genome	dsDNA	bacteria	1.0
MH976508.1	57880.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus bibwit	E	Gordonia phage Bibwit			MH976508	NC_055774	Complete genome	dsDNA	bacteria	1.0
MG812487.1	58842.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus brandonk123	E	Gordonia phage Brandonk123			MG812487	NC_042108	Complete genome	dsDNA	bacteria	1.0
MH976510.1	59136.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus fosterous	E	Gordonia phage Fosterous			MH976510	NC_055775	Complete genome	dsDNA	bacteria	1.0
MK937594.1	59400.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus galadriel	E	Gordonia phage Galadriel			MK937594	NC_055803	Complete genome	dsDNA	bacteria	1.0
MH976512.1	59495.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus geodirt	E	Gordonia phage Geodirt			MH976512	NC_055776	Complete genome	dsDNA	bacteria	1.0
MN329673.1	59449.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus jabberwocky	E	Gordonia phage Jabberwocky			MN329673	NC_055818	Complete genome	dsDNA	bacteria	1.0
MN329677.1	59759.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus keitabear	E	Gordonia phage Keitabear			MN329677	NC_055819	Complete genome	dsDNA	bacteria	1.0
MT723934.1	60042.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus love	E	Gordonia phage Love			MT723934	NC_055864	Complete genome	dsDNA	bacteria	1.0
MK977702.1	59022.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus mckinley	E	Gordonia phage McKinley			MK977702	NC_055808	Complete genome	dsDNA	bacteria	1.0
MH976514.1	57572.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus nordenberg	E	Gordonia phage Nordenberg			MH976514	NC_055777	Complete genome	dsDNA	bacteria	1.0
MT639640.1	60127.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus paries	E	Gordonia phage Paries			MT639640	NC_055859	Complete genome	dsDNA	bacteria	1.0
MH479924.1	58767.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus rofo	E	Gordonia phage Rofo			MH479924	NC_055753	Complete genome	dsDNA	bacteria	1.0
MH976518.1	57916.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus stultus	E	Gordonia phage Stultus			MH976518	NC_055778	Complete genome	dsDNA	bacteria	1.0
MH976519.1	58281.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus tangent	E	Gordonia phage Tangent			MH976519	NC_055779	Complete genome	dsDNA	bacteria	1.0
KU963250.1	59337.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Vividuovirus		Vividuovirus vivi2	E	Gordonia phage Vivi2			KU963250	NC_031239	Complete genome	dsDNA	bacteria	1.0
KJ024807.2	51366.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Waukeshavirus		Waukeshavirus BMBtp3	E	Bacillus phage vB_BtS_BMBtp3			KJ024807	NC_028748	Complete genome	dsDNA	bacteria	1.0
KJ920400.1	45648.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Waukeshavirus		Waukeshavirus waukesha92	E	Bacillus phage Waukesha92			KJ920400	NC_025424	Complete genome	dsDNA	bacteria	1.0
DQ289555.1	40867.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wbetavirus		Wbetavirus wbeta	E	Bacillus phage Wbeta			DQ289555	NC_007734	Complete genome	dsDNA	bacteria	1.0
KX774321.1	134973.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Weaselvirus		Weaselvirus weasel	E	Rhodococcus phage Weasels2			KX774321	NC_041887	Complete genome	dsDNA	bacteria	1.0
MH426724.1	244950.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wellingtonvirus		Wellingtonvirus wellington	E	Erwinia phage Wellington			MH426724	NC_048016	Complete genome	dsDNA	bacteria	1.0
MK967393.1	49660.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Whackvirus		Whackvirus whack	E	Rhodococcus phage Whack			MK967393	NC_048784	Complete genome	dsDNA	bacteria	1.0
GQ403788.1	36892.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Whiteheadvirus		Whiteheadvirus wv1358	E	Lactococcus phage 1358			GQ403788	NC_027120	Complete genome	dsDNA	bacteria	1.0
JX128258.1	66854.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wifcevirus		Wifcevirus ECML117	E	Escherichia phage ECML-117			JX128258	NC_025441	Complete genome	dsDNA	bacteria	1.0
MH816966.1	68472.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wifcevirus		Wifcevirus FEC19	E	Escherichia phage FEC19			MH816966	NC_048073	Complete genome	dsDNA	bacteria	1.0
MK373777.1	72472.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wifcevirus		Wifcevirus WFC	E	Escherichia phage vB_EcoM_WFC			MK373777	NC_048195	Complete genome	dsDNA	bacteria	1.0
MK373776.1	71283.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wifcevirus		Wifcevirus WFH	E	Escherichia phage vB_EcoM_WFH			MK373776	NC_048194	Complete genome	dsDNA	bacteria	1.0
MG757153.1	127084.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wilnyevirus		Wilnyevirus billnye	E	Streptomyces phage BillNye			MG757153	NC_042105	Complete genome	dsDNA	bacteria	1.0
MK864266.1	58650.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus Arri	E	Gordonia phage Arri			MK864266	NC_055798	Complete genome	dsDNA	bacteria	1.0
MK937603.1	60468.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus bakery	E	Gordonia phage Bakery			MK937603	NC_055804	Complete genome	dsDNA	bacteria	1.0
MK864265.1	59514.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus barb	E	Gordonia phage Barb			MK864265	NC_055797	Complete genome	dsDNA	bacteria	1.0
MH479910.1	58695.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus danyall	E	Gordonia phage Danyall			MH479910	NC_055751	Complete genome	dsDNA	bacteria	1.0
MT310872.1	58460.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus evamon	E	Gordonia phage Evamon			MT310872	NC_055843	Complete genome	dsDNA	bacteria	1.0
MN284907.1	58924.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus fireball	E	Gordonia phage Fireball			MN284907	NC_055816	Complete genome	dsDNA	bacteria	1.0
MT521998.1	57764.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus jambalaya	E	Gordonia phage Jambalaya			MT521998	NC_055857	Complete genome	dsDNA	bacteria	1.0
MH479917.1	58755.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus kimmyK	E	Gordonia phage KimmyK			MH479917	NC_055752	Complete genome	dsDNA	bacteria	1.0
MK305889.1	59655.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus mutzi	E	Gordonia phage Mutzi			MK305889	NC_055785	Complete genome	dsDNA	bacteria	1.0
MN010760.1	58718.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus nubi	E	Gordonia phage Nubi			MN010760	NC_055810	Complete genome	dsDNA	bacteria	1.0
MW507125.1	58358.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus phlop	E	Gordonia phage Phlop			MW507125	NC_055920	Complete genome	dsDNA	bacteria	1.0
MT639651.1	58364.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus portcullis	E	Gordonia phage Portcullis			MT639651	NC_055861	Complete genome	dsDNA	bacteria	1.0
MK967381.1	59122.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus rogerdodger	E	Gordonia phage RogerDodger			MK967381	NC_055805	Complete genome	dsDNA	bacteria	1.0
MK814761.1	59454.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus smokingbunny	E	Gordonia phage SmokingBunny			MK814761	NC_055795	Complete genome	dsDNA	bacteria	1.0
MH669015.1	58677.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus tillybobjoe	E	Gordonia phage TillyBobJoe			MH669015	NC_055765	Complete genome	dsDNA	bacteria	1.0
KX557286.1	57804.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus twister6	E	Gordonia phage Twister6			KX557286	NC_031052	Complete genome	dsDNA	bacteria	1.0
MK864267.1	59448.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus valary	E	Gordonia phage Valary			MK864267	NC_055799	Complete genome	dsDNA	bacteria	1.0
MK864264.1	58972.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus vandewege	E	Gordonia phage VanDeWege			MK864264	NC_055796	Complete genome	dsDNA	bacteria	1.0
KU998234.1	58308.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wizardvirus		Wizardvirus wizard	E	Gordonia phage Wizard			KU998234	NC_030913	Complete genome	dsDNA	bacteria	1.0
KU998240.1	73752.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Woesvirus		Woesvirus woes	E	Gordonia phage Woes			KU998240	NC_030905	Complete genome	dsDNA	bacteria	1.0
KP876466.1	57168.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Woodruffvirus		Woodruffvirus TP1604	E	Streptomyces phage TP1604			KP876466	NC_028818	Complete genome	dsDNA	bacteria	1.0
KP876465.1	56528.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Woodruffvirus		Woodruffvirus YDN12	E	Streptomyces phage YDN12			KP876465	NC_028974	Complete genome	dsDNA	bacteria	1.0
DQ875742.1	40938.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wumpquatrovirus		Wumpquatrovirus WMP4	E	Phormidium phage Pf-WMP4			DQ875742	NC_008367	Complete genome	dsDNA	bacteria	1.0
KF598865.1	42480.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wumptrevirus		Wumptrevirus PP	E	Cyanophage PP			KF598865	NC_022751	Complete genome	dsDNA	bacteria	1.0
EF537008.1	43249.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Wumptrevirus		Wumptrevirus WMP3	E	Phormidium phage Pf-WMP3			EF537008	NC_009551	Complete genome	dsDNA	bacteria	1.0
HM151342.1	62668.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Xiamenvirus		Xiamenvirus RDJL1	E	Roseobacter phage RDJL Phi 1			HM151342	NC_015466	Complete genome	dsDNA	bacteria	1.0
KT266805.1	63513.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Xiamenvirus		Xiamenvirus RDJL2	E	Roseobacter phage RDJL Phi 2			KT266805	NC_041958	Complete genome	dsDNA	bacteria	1.0
AP008979.1	43785.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Xipdecavirus		Xipdecavirus OP1	E	Xanthomonas phage OP1			AP008979	NC_007709	Complete genome	dsDNA	bacteria	1.0
DQ777876.1	44520.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Xipdecavirus		Xipdecavirus Xop411	E	Xanthomonas phage Xop411			DQ777876	NC_009543	Complete genome	dsDNA	bacteria	1.0
AY299121.1	44373.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Xipdecavirus		Xipdecavirus Xp10	E	Xanthomonas phage Xp10			AY299121	NC_004902	Complete genome	dsDNA	bacteria	1.0
MK373772.1	61600.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Xuquatrovirus		Xuquatrovirus PTXU04	E	Escherichia phage PTXU04			MK373772	NC_048193	Complete genome	dsDNA	bacteria	1.0
MH834629.1	43206.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yangvirus		Yangvirus yang	E	Arthrobacter virus Yang			MH834629	NC_048097	Complete genome	dsDNA	bacteria	1.0
MN585979.1	53277.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yeceytrevirus		Yeceytrevirus yecey3	E	Mycobacterium phage Yecey3			MN585979	NC_054783	Complete genome	dsDNA	bacteria	1.0
AB767244.1	42746.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yokohamavirus		Yokohamavirus MSW3	E	Edwardsiella phage MSW-3			AB767244	NC_020082	Complete genome	dsDNA	bacteria	1.0
AP013057.1	43378.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yokohamavirus		Yokohamavirus PEi21	E	Edwardsiella phage PEi21			AP013057	NC_021342	Complete genome	dsDNA	bacteria	1.0
KY448244.1	259700.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yoloswagvirus		Yoloswagvirus yoloswag	E	Erwinia phage vB_EamM_Yoloswag			KY448244	NC_047815	Complete genome	dsDNA	bacteria	1.0
DQ466086.1	56538.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yongloolinvirus		Yongloolinvirus C2	E	Clostridioides phage phiC2			DQ466086	NC_009231	Complete genome	dsDNA	bacteria	1.0
HG531805.1	54279.0	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Yongloolinvirus		Yongloolinvirus CDMH1	E	Clostridium phage CDMH1			HG531805	NC_024144	Complete genome	dsDNA	bacteria	1.0
