qseqid_ID,sseqid_ID,conserved_AA_#,qseqid_genome_length,sseqid_genome_length,length,Class,Exemplar or additional isolate,Family,Genome composition,Genome coverage,Genus,Host source,Kingdom,Order,Phylum,Realm,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Virus GENBANK accession,Virus REFSEQ accession,Virus isolate designation,Virus name abbreviation(s),Virus name(s),bitscore,definition,evalue,gapopen,genome_ncbi_acc,mismatch,pident,protein_length,qend,qseqid,qstart,send,sseqid,sstart,virus
AT10B_S2_NODE_1_length_122269_cov_11,QDH93957.1,168.966,103329.0,132977.0,189.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,339.0,RuvC-like resolvase,5.45e-120,0,MK977711.1,20,89.4,189.0,189,AT10B_S2_NODE_1_length_122269_cov_11.242561_12,1,189,QDH93957.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93955.1,216.908,103329.0,132977.0,257.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,472.0,Cas4 family exonuclease,3.569999999999999e-170,0,MK977711.1,40,84.4,257.0,257,AT10B_S2_NODE_1_length_122269_cov_11.242561_11,1,257,QDH93955.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93954.1,99.01200000000001,103329.0,132977.0,111.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,202.0,hypothetical protein SEA_EVY_87,2.1799999999999997e-68,0,MK977711.1,12,89.2,111.0,111,AT10B_S2_NODE_1_length_122269_cov_11.242561_10,1,111,QDH93954.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93953.1,32.994,103329.0,132977.0,47.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,62.8,hypothetical protein SEA_EVY_86,1.53e-14,1,MK977711.1,11,70.2,64.0,47,AT10B_S2_NODE_1_length_122269_cov_11.242561_9,1,44,QDH93953.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93952.1,76.96000000000001,103329.0,132977.0,104.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,167.0,Holliday junction resolvase,1.41e-54,0,MK977711.1,27,74.0,104.0,104,AT10B_S2_NODE_1_length_122269_cov_11.242561_8,1,104,QDH93952.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93951.1,48.972,103329.0,132977.0,66.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,108.0,hypothetical protein SEA_EVY_84,2.11e-32,0,MK977711.1,17,74.2,66.0,66,AT10B_S2_NODE_1_length_122269_cov_11.242561_7,1,66,QDH93951.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93950.1,273.981,103329.0,132977.0,337.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,540.0,RecA-like DNA recombinase,1.19e-194,1,MK977711.1,58,81.3,334.0,337,AT10B_S2_NODE_1_length_122269_cov_11.242561_6,1,332,QDH93950.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93949.1,96.945,103329.0,132977.0,115.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,192.0,MazG-like nucleotide pyrophosphohydrolase,7.56e-64,0,MK977711.1,18,84.3,124.0,116,AT10B_S2_NODE_1_length_122269_cov_11.242561_5,2,124,QDH93949.1,10,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93948.1,25.025000000000002,103329.0,132977.0,55.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,56.2,hypothetical protein SEA_EVY_81,9.32e-12,0,MK977711.1,30,45.5,59.0,55,AT10B_S2_NODE_1_length_122269_cov_11.242561_4,1,55,QDH93948.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93947.1,948.4979999999999,103329.0,132977.0,1094.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,1934.0,DnaE-like DNA polymerase III subunit alpha,0.0,0,MK977711.1,145,86.7,1094.0,1094,AT10B_S2_NODE_1_length_122269_cov_11.242561_3,1,1094,QDH93947.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93946.1,211.90499999999997,103329.0,132977.0,255.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,414.0,DNA binding protein,1.7999999999999998e-147,2,MK977711.1,38,83.1,255.0,250,AT10B_S2_NODE_1_length_122269_cov_11.242561_2,1,255,QDH93946.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93945.1,297.91200000000003,103329.0,132977.0,379.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,189.0,DNA primase,8.55e-60,0,MK977711.1,24,77.6,354.0,107,AT10B_S2_NODE_1_length_122269_cov_11.242561_1,1,354,QDH93945.1,248,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93945.1,297.91200000000003,103329.0,132977.0,379.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,458.0,DNA primase,5.980000000000001e-163,1,MK977711.1,56,79.0,354.0,271,AT10B_S2_NODE_1_length_122269_cov_11.242561_205,1,272,QDH93945.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93944.1,362.152,103329.0,132977.0,406.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,750.0,DNA helicase,2.35e-275,0,MK977711.1,44,89.2,406.0,406,AT10B_S2_NODE_1_length_122269_cov_11.242561_204,1,406,QDH93944.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93943.1,93.032,103329.0,132977.0,116.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,187.0,hypothetical protein SEA_EVY_76,5.23e-62,0,MK977711.1,23,80.2,121.0,119,AT10B_S2_NODE_1_length_122269_cov_11.242561_203,4,121,QDH93943.1,6,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93942.1,31.0,103329.0,132977.0,62.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,58.9,hypothetical protein SEA_EVY_75,8.8e-13,0,MK977711.1,31,50.0,63.0,62,AT10B_S2_NODE_1_length_122269_cov_11.242561_202,1,62,QDH93942.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93941.1,62.961000000000006,103329.0,132977.0,93.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,112.0,hypothetical protein SEA_EVY_74,4.81e-33,3,MK977711.1,26,67.7,95.0,93,AT10B_S2_NODE_1_length_122269_cov_11.242561_201,1,89,QDH93941.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93940.1,112.0,103329.0,132977.0,160.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,238.0,helix-turn-helix DNA-binding protein,8.01e-81,1,MK977711.1,37,70.0,176.0,157,AT10B_S2_NODE_1_length_122269_cov_11.242561_200,9,176,QDH93940.1,17,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93938.1,57.0,103329.0,132977.0,76.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,98.2,hypothetical protein SEA_EVY_71,8.15e-28,0,MK977711.1,19,75.0,83.0,76,AT10B_S2_NODE_1_length_122269_cov_11.242561_199,1,76,QDH93938.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93937.1,229.91599999999997,103329.0,132977.0,251.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,508.0,metallophosphoesterase,7.400000000000001e-185,0,MK977711.1,21,91.6,251.0,251,AT10B_S2_NODE_1_length_122269_cov_11.242561_198,1,251,QDH93937.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93936.1,67.99600000000001,103329.0,132977.0,89.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,165.0,HNH endonuclease,4.31e-54,0,MK977711.1,21,76.4,98.0,89,AT10B_S2_NODE_1_length_122269_cov_11.242561_197,1,89,QDH93936.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93935.1,102.968,103329.0,132977.0,122.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,235.0,hypothetical protein SEA_EVY_68,1.18e-80,0,MK977711.1,19,84.4,146.0,122,AT10B_S2_NODE_1_length_122269_cov_11.242561_196,1,146,QDH93935.1,25,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93934.1,105.996,103329.0,132977.0,121.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,223.0,hypothetical protein SEA_EVY_67,1.0700000000000001e-75,0,MK977711.1,15,87.6,122.0,145,AT10B_S2_NODE_1_length_122269_cov_11.242561_195,25,121,QDH93934.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93932.1,522.851,103329.0,132977.0,791.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,962.0,minor tail protein,0.0,4,MK977711.1,262,66.1,2001.0,788,AT10B_S2_NODE_1_length_122269_cov_11.242561_192,1,788,QDH93932.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93931.1,218.89,103329.0,132977.0,265.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,430.0,minor tail protein,1.8e-153,1,MK977711.1,45,82.6,265.0,264,AT10B_S2_NODE_1_length_122269_cov_11.242561_191,1,265,QDH93931.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93930.1,91.987,103329.0,132977.0,119.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,178.0,hypothetical protein SEA_EVY_63,1.69e-58,0,MK977711.1,27,77.3,120.0,119,AT10B_S2_NODE_1_length_122269_cov_11.242561_190,1,119,QDH93930.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93929.1,834.1760000000002,103329.0,132977.0,1064.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,1741.0,minor tail protein,0.0,2,MK977711.1,228,78.4,1064.0,1062,AT10B_S2_NODE_1_length_122269_cov_11.242561_189,1,1064,QDH93929.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93928.1,117.971,103329.0,132977.0,133.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,249.0,hypothetical protein SEA_EVY_61,3.88e-86,0,MK977711.1,15,88.7,133.0,133,AT10B_S2_NODE_1_length_122269_cov_11.242561_188,1,133,QDH93928.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93927.1,1562.9850000000001,103329.0,132977.0,2115.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,2605.0,tape measure protein,0.0,10,MK977711.1,520,73.9,2095.0,2111,AT10B_S2_NODE_1_length_122269_cov_11.242561_187,9,2094,QDH93927.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93926.1,75.027,103329.0,132977.0,89.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,151.0,tail assembly chaperone,1.22e-48,0,MK977711.1,14,84.3,89.0,89,AT10B_S2_NODE_1_length_122269_cov_11.242561_186,1,89,QDH93926.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93925.1,97.01399999999998,103329.0,132977.0,114.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,200.0,tail assembly chaperone,2.2299999999999998e-67,0,MK977711.1,17,85.1,114.0,114,AT10B_S2_NODE_1_length_122269_cov_11.242561_185,1,114,QDH93925.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93924.1,184.023,103329.0,132977.0,207.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,358.0,major tail protein,7.22e-127,0,MK977711.1,23,88.9,207.0,207,AT10B_S2_NODE_1_length_122269_cov_11.242561_184,1,207,QDH93924.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93923.1,133.056,103329.0,132977.0,168.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,282.0,hypothetical protein SEA_EVY_56,6.02e-98,1,MK977711.1,34,79.2,168.0,168,AT10B_S2_NODE_1_length_122269_cov_11.242561_183,1,167,QDH93923.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93922.1,205.92000000000002,103329.0,132977.0,264.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,428.0,hypothetical protein SEA_EVY_55,1.53e-152,0,MK977711.1,58,78.0,266.0,264,AT10B_S2_NODE_1_length_122269_cov_11.242561_182,1,266,QDH93922.1,3,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93921.1,141.97299999999998,103329.0,132977.0,163.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,299.0,hypothetical protein SEA_EVY_54,5.49e-105,0,MK977711.1,21,87.1,163.0,163,AT10B_S2_NODE_1_length_122269_cov_11.242561_181,1,163,QDH93921.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93920.1,189.028,103329.0,132977.0,301.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,387.0,head-to-tail adaptor,1.3999999999999998e-135,3,MK977711.1,100,62.8,290.0,300,AT10B_S2_NODE_1_length_122269_cov_11.242561_180,1,290,QDH93920.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93919.1,98.02100000000002,103329.0,132977.0,133.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,194.0,hypothetical protein SEA_EVY_52,2.1700000000000002e-64,1,MK977711.1,32,73.7,133.0,130,AT10B_S2_NODE_1_length_122269_cov_11.242561_177,1,133,QDH93919.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93918.1,308.161,103329.0,132977.0,331.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,620.0,major capsid protein,1.59e-226,0,MK977711.1,23,93.1,331.0,331,AT10B_S2_NODE_1_length_122269_cov_11.242561_176,1,331,QDH93918.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93917.1,351.9,103329.0,132977.0,425.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,628.0,capsid maturation protease,1.02e-226,3,MK977711.1,57,82.8,425.0,409,AT10B_S2_NODE_1_length_122269_cov_11.242561_175,1,425,QDH93917.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93916.1,112.93599999999999,103329.0,132977.0,152.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,240.0,hypothetical protein SEA_EVY_49,4.82e-82,1,MK977711.1,35,74.3,154.0,149,AT10B_S2_NODE_1_length_122269_cov_11.242561_174,2,154,QDH93916.1,3,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93915.1,473.025,103329.0,132977.0,525.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,933.0,portal protein,0.0,1,MK977711.1,51,90.1,525.0,524,AT10B_S2_NODE_1_length_122269_cov_11.242561_173,1,525,QDH93915.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93914.1,89.022,103329.0,132977.0,111.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,196.0,hypothetical protein SEA_EVY_47,6.01e-66,0,MK977711.1,22,80.2,111.0,111,AT10B_S2_NODE_1_length_122269_cov_11.242561_172,1,111,QDH93914.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93913.1,377.0,103329.0,132977.0,580.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,773.0,hypothetical protein SEA_EVY_46,1.22e-278,3,MK977711.1,199,65.0,578.0,578,AT10B_S2_NODE_1_length_122269_cov_11.242561_171,1,578,QDH93913.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93912.1,174.048,103329.0,132977.0,296.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,312.0,LysM-like peptidoglycan binding protein,2.4700000000000003e-103,5,MK977711.1,106,58.8,473.0,288,AT10B_S2_NODE_1_length_122269_cov_11.242561_170,1,288,QDH93912.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93911.1,575.9,103329.0,132977.0,650.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,1177.0,ribonucleotide reductase,0.0,1,MK977711.1,71,88.6,647.0,650,AT10B_S2_NODE_1_length_122269_cov_11.242561_169,1,647,QDH93911.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93910.1,244.062,103329.0,132977.0,298.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,530.0,glycosyltransferase,1.3699999999999999e-191,0,MK977711.1,54,81.9,322.0,298,AT10B_S2_NODE_1_length_122269_cov_11.242561_168,1,322,QDH93910.1,25,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93908.1,25.002,103329.0,132977.0,54.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,43.1,hypothetical protein SEA_EVY_41,8.98e-07,1,MK977711.1,28,46.3,55.0,53,AT10B_S2_NODE_1_length_122269_cov_11.242561_166,1,54,QDH93908.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93907.1,48.0,103329.0,132977.0,80.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,107.0,endolysin,7.37e-29,0,MK977711.1,32,60.0,174.0,166,AT10B_S2_NODE_1_length_122269_cov_11.242561_165,87,174,QDH93907.1,95,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93906.1,110.057,103329.0,132977.0,157.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,230.0,HNH endonuclease,5.71e-78,1,MK977711.1,43,70.1,157.0,153,AT10B_S2_NODE_1_length_122269_cov_11.242561_164,1,157,QDH93906.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93902.1,30.996000000000002,103329.0,132977.0,54.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,75.5,hypothetical protein SEA_EVY_34,1.26e-19,0,MK977711.1,23,57.4,54.0,54,AT10B_S2_NODE_1_length_122269_cov_11.242561_162,1,54,QDH93902.1,1,Streptomyces phage Evy
AT10B_S2_NODE_1_length_122269_cov_11,QDH93900.1,216.86399999999998,103329.0,132977.0,288.0,Caudoviricetes,E,,dsDNA,Complete genome,Samistivirus,bacteria,Heunggongvirae,,Uroviricota,Duplodnaviria,Samistivirus evy,,Boydwoodruffvirinae,,,,,,MK977711,NC_055809,,,Streptomyces phage Evy,407.0,membrane protein,1.48e-143,3,MK977711.1,67,75.3,289.0,287,AT10B_S2_NODE_1_length_122269_cov_11.242561_159,1,285,QDH93900.1,1,Streptomyces phage Evy
