qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qseqid_ID,qseqid_genome_length,sseqid_ID,definition,virus,protein_length,genome_ncbi_acc,sseqid_genome_length,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,conserved_AA_#
AT10B_S2_NODE_1_length_122269_cov_11.242561_69,AXG66210.1,39.5,190,91,5,2,176,5,185,5.16e-36,126.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXG66210.1,DnaQ-like DNA polymerase III subunit,Streptomyces phage Annadreamy,201.0,MH536811.1,125726.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus annadreamy,E,Streptomyces phage Annadreamy,,,MH536811,NC_048719,Complete genome,dsDNA,bacteria,75.05
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,QJD50910.1,81.0,84,16,0,1,84,1,84,2.4e-47,147.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50910.1,hypothetical protein SEA_BMOC_197,Streptomyces phage Bmoc,87.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,68.03999999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,ASR77415.1,78.6,84,18,0,1,84,1,84,2.3e-46,145.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77415.1,hypothetical protein SEA_NOOTNOOT_188,Streptomyces phage NootNoot,92.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,66.02399999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_74,AYB70999.1,74.4,86,22,0,1,86,1,86,1.15e-45,143.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AYB70999.1,hypothetical protein SEA_YABOI_202,Streptomyces phage Yaboi,87.0,MH727564.1,131250.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Yaboi,E,Streptomyces phage Yaboi,,,MH727564,NC_048730,Complete genome,dsDNA,bacteria,63.984
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AST15387.1,75.5,363,79,1,1,353,1,363,4.6200000000000005e-200,556.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AST15387.1,RNA ligase,Streptomyces phage Samisti12,366.0,MF347639.1,133710.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus samisti12,E,Streptomyces phage Samisti12,,,MF347639,NC_042012,Complete genome,dsDNA,bacteria,274.065
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,QDK03009.1,73.7,365,86,1,1,355,1,365,1.04e-198,553.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03009.1,RNA ligase,Streptomyces phage Braelyn,365.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,269.005
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,APC46427.1,38.3,358,205,9,1,345,1,355,5.4499999999999995e-68,220.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,APC46427.1,RNA ligase,Streptomyces phage BRock,359.0,KX925554.1,112523.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Borockvirus,,Borockvirus brock,E,Streptomyces phage BRock,,,KX925554,NC_048650,Complete genome,dsDNA,bacteria,137.114
AT10B_S2_NODE_1_length_122269_cov_11.242561_76,AGY47134.1,39.6,356,172,16,10,345,12,344,5.83e-47,165.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AGY47134.1,RNA ligase,Clavibacter phage CN1A,344.0,KF669650.1,56789.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Cinunavirus,,Cinunavirus CN1A,E,Clavibbacter phage CN1A,,,KF669650,NC_023549,Complete genome,dsDNA,bacteria,140.976
AT10B_S2_NODE_1_length_122269_cov_11.242561_79,ASR75568.1,74.5,298,76,0,2,299,4,301,3.31e-162,455.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75568.1,polynucleotide kinase,Streptomyces phage Mildred21,301.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,222.01
AT10B_S2_NODE_1_length_122269_cov_11.242561_79,QGH76462.1,72.8,298,81,0,2,299,4,301,6.05e-158,444.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76462.1,polynucleotide kinase,Streptomyces phage Daubenski,301.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,216.944
AT10B_S2_NODE_1_length_122269_cov_11.242561_80,AVD99357.1,44.9,89,42,2,1,89,11,92,1.04e-21,83.6,AT10B_S2_NODE_1_length_122269_cov_11,103329,AVD99357.1,hypothetical protein SEA_BILLNYE_185,Streptomyces phage BillNye,93.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria,39.961
AT10B_S2_NODE_1_length_122269_cov_11.242561_83,ASR75575.1,80.6,36,6,1,24,59,1,35,1.74e-14,63.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75575.1,hypothetical protein SEA_MILDRED21_217,Streptomyces phage Mildred21,52.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,29.016
AT10B_S2_NODE_1_length_122269_cov_11.242561_84,AXH69712.1,74.5,55,14,0,1,55,1,55,4.1e-24,87.4,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH69712.1,hypothetical protein SEA_LUKECAGE_228,Streptomyces phage LukeCage,55.0,MH590597.1,133195.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus LukeCage,E,Streptomyces phage LukeCage,,,MH590597,NC_048723,Complete genome,dsDNA,bacteria,40.975
AT10B_S2_NODE_1_length_122269_cov_11.242561_84,AXH67362.1,74.5,55,14,0,1,55,1,55,1.96e-22,83.2,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67362.1,hypothetical protein SEA_WOFFORD_225,Streptomyces phage Wollford,55.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,40.975
AT10B_S2_NODE_1_length_122269_cov_11.242561_90,QBP30959.1,78.4,125,27,0,7,131,1,125,8.85e-69,205.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30959.1,hypothetical protein SEA_EGOLE_218,Streptomyces phage EGole,129.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,98.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_90,ASR77435.1,78.4,125,27,0,7,131,1,125,7.27e-68,203.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77435.1,hypothetical protein SEA_NOOTNOOT_212,Streptomyces phage NootNoot,129.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,98.0
AT10B_S2_NODE_1_length_122269_cov_11.242561_92,QJD50930.1,74.8,103,26,0,1,103,1,103,4.38e-56,171.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50930.1,deoxycytidylate deaminase,Streptomyces phage Bmoc,104.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,77.044
AT10B_S2_NODE_1_length_122269_cov_11.242561_93,ABI79150.1,25.7,210,132,9,3,198,4,203,6.96e-08,54.3,AT10B_S2_NODE_1_length_122269_cov_11,103329,ABI79150.1,putative Sir2-like protein,Escherichia phage V5,253.0,DQ832317.1,137947.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Vequintavirinae,Vequintavirus,,Vequintavirus V5,E,Escherichia phage V5,,,DQ832317,NC_011041,Complete genome,dsDNA,bacteria,53.97
AT10B_S2_NODE_1_length_122269_cov_11.242561_94,AFU63738.1,27.7,166,103,5,1,156,1,159,5.66e-08,52.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AFU63738.1,hypothetical protein,Salmonella phage SSE121,163.0,JX181824.1,147745.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Vequintavirinae,Seunavirus,,Seunavirus SSE121,E,Salmonella phage SSE121,,,JX181824,NC_027351,Complete genome,dsDNA,bacteria,45.982
AT10B_S2_NODE_1_length_122269_cov_11.242561_97,QJD50931.1,66.5,638,211,2,1,635,1,638,1.37e-310,859.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QJD50931.1,hypothetical protein SEA_BMOC_222,Streptomyces phage Bmoc,640.0,MT310865.1,132885.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus bmoc,E,Streptomyces phage Bmoc,,,MT310865,NC_055842,Complete genome,dsDNA,bacteria,424.27
AT10B_S2_NODE_1_length_122269_cov_11.242561_97,ASR75585.1,65.5,638,216,2,1,635,1,637,8.16e-309,854.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75585.1,hypothetical protein SEA_MILDRED21_227,Streptomyces phage Mildred21,637.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,417.89
AT10B_S2_NODE_1_length_122269_cov_11.242561_98,AIK67813.1,36.8,182,104,2,70,251,165,335,5.73e-33,127.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIK67813.1,putative rIIB,Escherichia phage HY02,369.0,KM092515.1,86252.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ounavirinae,Felixounavirus,,Felixounavirus HY02,E,Escherichia phage HY02,,,KM092515,NC_028872,Complete genome,dsDNA,bacteria,66.976
AT10B_S2_NODE_1_length_122269_cov_11.242561_99,ASR77877.1,87.8,254,29,1,3,256,2,253,3.6600000000000004e-181,499.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77877.1,phosphoesterase,Streptomyces phage Peebs,255.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,223.012
AT10B_S2_NODE_1_length_122269_cov_11.242561_101,AXH70051.1,75.9,79,19,0,1,79,1,79,2.6600000000000003e-43,137.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH70051.1,hypothetical protein SEA_KARIMAC_234,Streptomyces phage Karimac,79.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria,59.961000000000006
AT10B_S2_NODE_1_length_122269_cov_11.242561_102,ASR77443.1,86.3,102,14,0,1,102,1,102,3.64e-65,194.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77443.1,WhiB family transcription factor,Streptomyces phage NootNoot,102.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,88.026
AT10B_S2_NODE_1_length_122269_cov_11.242561_103,QDK03036.1,82.7,98,17,0,1,98,1,98,1.7899999999999998e-55,169.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03036.1,hypothetical protein SEA_BRAELYN_220,Streptomyces phage Braelyn,102.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,81.046
AT10B_S2_NODE_1_length_122269_cov_11.242561_103,QBP30969.1,80.6,98,19,0,1,98,1,98,4.2199999999999995e-54,166.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30969.1,hypothetical protein SEA_EGOLE_228,Streptomyces phage EGole,102.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,78.988
AT10B_S2_NODE_1_length_122269_cov_11.242561_105,ASR77883.1,82.9,76,13,0,1,76,1,76,2.1500000000000002e-43,137.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77883.1,hypothetical protein SEA_PEEBS_223,Streptomyces phage Peebs,76.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,63.004000000000005
AT10B_S2_NODE_1_length_122269_cov_11.242561_105,QDH94051.1,69.7,76,23,0,1,76,1,76,1.8500000000000002e-35,117.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDH94051.1,hypothetical protein SEA_EVY_216,Streptomyces phage Evy,76.0,MK977711.1,132977.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus evy,E,Streptomyces phage Evy,,,MK977711,NC_055809,Complete genome,dsDNA,bacteria,52.972
AT10B_S2_NODE_1_length_122269_cov_11.242561_107,AXH66951.1,63.2,133,49,0,1,133,1,133,7.81e-47,150.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66951.1,hypothetical protein SEA_STARPLATINUM_247,Streptomyces phage StarPlatinum,133.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,84.05600000000001
AT10B_S2_NODE_1_length_122269_cov_11.242561_108,QBP30974.1,94.8,96,5,0,1,96,1,96,6.33e-61,183.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QBP30974.1,hypothetical protein SEA_EGOLE_233,Streptomyces phage EGole,101.0,MK494112.1,135653.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus egole,E,Streptomyces phage Egole,,,MK494112,NC_055791,Complete genome,dsDNA,bacteria,91.008
AT10B_S2_NODE_1_length_122269_cov_11.242561_108,AVD99317.1,53.5,99,46,0,1,99,1,99,1.2200000000000001e-31,109.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AVD99317.1,hypothetical protein SEA_BILLNYE_140,Streptomyces phage BillNye,103.0,MG757153.1,127084.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Wilnyevirus,,Wilnyevirus billnye,E,Streptomyces phage BillNye,,,MG757153,NC_042105,Complete genome,dsDNA,bacteria,52.964999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_110,QDK03043.1,68.1,69,22,0,3,71,8,76,1.05e-31,107.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03043.1,hypothetical protein SEA_BRAELYN_227,Streptomyces phage Braelyn,77.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,46.98899999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_112,AAQ14655.1,34.4,131,62,5,4,131,17,126,3e-13,64.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,AAQ14655.1,unknown,Salmonella phage FelixO1,130.0,AF320576.1,86155.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ounavirinae,Felixounavirus,,Felixounavirus felixO1,E,Salmonella phage Felix01,,,AF320576,NC_005282,Complete genome,dsDNA,bacteria,45.064
AT10B_S2_NODE_1_length_122269_cov_11.242561_116,QGH76496.1,78.7,61,13,0,1,61,1,61,9.860000000000001e-27,94.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QGH76496.1,hypothetical protein SEA_DAUBENSKI_229,Streptomyces phage Daubenski,61.0,MN444876.1,133090.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus daubenski,E,Streptomyces phage Daubenski,,,MN444876,NC_055822,Complete genome,dsDNA,bacteria,48.007
AT10B_S2_NODE_1_length_122269_cov_11.242561_118,ASR77456.1,60.9,87,33,1,1,86,1,87,1.9700000000000002e-33,112.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77456.1,hypothetical protein SEA_NOOTNOOT_234,Streptomyces phage NootNoot,90.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,52.983
AT10B_S2_NODE_1_length_122269_cov_11.242561_119,ASR77658.1,61.9,134,50,1,4,136,3,136,1.82e-57,177.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77658.1,hypothetical protein SEA_PARADIDDLES_230,Streptomyces phage Paradiddles,138.0,MF347637.1,133486.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus paradiddles,E,Streptomyces phage Paradiddles,,,MF347637,NC_042010,Complete genome,dsDNA,bacteria,82.946
AT10B_S2_NODE_1_length_122269_cov_11.242561_123,ASR75612.1,75.5,159,39,0,1,159,1,159,2.78e-87,254.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75612.1,hypothetical protein SEA_MILDRED21_255,Streptomyces phage Mildred21,159.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,120.045
AT10B_S2_NODE_1_length_122269_cov_11.242561_123,AXH49304.1,46.3,162,76,3,7,157,4,165,2.86e-42,140.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH49304.1,hypothetical protein SEA_BLUEEYEDBEAUTY_196,Streptomyces phage Blueeyedbeauty,171.0,MH536814.1,130473.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Annadreamyvirus,,Annadreamyvirus blueeyedbeauty,E,Streptomyces phage Blueeyedbeauty,,,MH536814,NC_048720,Complete genome,dsDNA,bacteria,75.006
AT10B_S2_NODE_1_length_122269_cov_11.242561_125,AIW02704.1,77.1,166,37,1,1,165,1,166,1.0299999999999999e-92,268.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02704.1,hypothetical protein PBI_JAY2JAY_251,Streptomyces phage Jay2Jay,166.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,127.98599999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_125,AXH66967.1,69.9,166,46,2,1,165,1,163,3.17e-84,247.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH66967.1,hypothetical protein SEA_STARPLATINUM_264,Streptomyces phage StarPlatinum,163.0,MH576965.1,133886.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus StarPlatinum,E,Streptomyces phage StarPlatinum,,,MH576965,NC_048721,Complete genome,dsDNA,bacteria,116.034
AT10B_S2_NODE_1_length_122269_cov_11.242561_127,ASR77465.1,79.4,63,13,0,16,78,1,63,1.58e-32,109.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77465.1,hypothetical protein SEA_NOOTNOOT_243,Streptomyces phage NootNoot,63.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,50.022000000000006
AT10B_S2_NODE_1_length_122269_cov_11.242561_130,QDK03060.1,78.3,69,14,1,16,83,1,69,1.9500000000000002e-33,112.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,QDK03060.1,hypothetical protein SEA_BRAELYN_246,Streptomyces phage Braelyn,69.0,MN096371.1,131234.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus braelyn,E,Streptomyces phage Braelyn,,,MN096371,NC_055813,Complete genome,dsDNA,bacteria,54.026999999999994
AT10B_S2_NODE_1_length_122269_cov_11.242561_131,ASR77273.1,76.2,336,73,1,1,329,1,336,3.3e-181,506.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77273.1,hypothetical protein SEA_NOOTNOOT_3,Streptomyces phage NootNoot,337.0,MF347636.1,131086.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus nootnoot,E,Streptomyces phage NootNoot,,,MF347636,NC_042009,Complete genome,dsDNA,bacteria,256.032
AT10B_S2_NODE_1_length_122269_cov_11.242561_132,AIW02505.1,44.3,140,76,1,9,148,8,145,1.52e-33,117.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,AIW02505.1,hypothetical protein PBI_JAY2JAY_6,Streptomyces phage Jay2Jay,146.0,KM652554.1,133531.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus jay2jay,E,Streptomyces phage Jay2jay,,,KM652554,NC_029098,Complete genome,dsDNA,bacteria,62.01999999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_133,ASR77910.1,43.8,144,73,1,1,136,1,144,8.22e-31,110.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77910.1,hypothetical protein SEA_PEEBS_251,Streptomyces phage Peebs,146.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,63.071999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_133,ASR75412.1,41.3,143,76,1,1,135,1,143,4.880000000000001e-27,100.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR75412.1,hypothetical protein SEA_MILDRED21_4,Streptomyces phage Mildred21,146.0,MF155946.1,131976.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus mildred21,E,Streptomyces phage Mildred21,,,MF155946,NC_042008,Complete genome,dsDNA,bacteria,59.05899999999999
AT10B_S2_NODE_1_length_122269_cov_11.242561_135,ASR77713.1,89.6,48,5,0,2,49,3,50,3.23e-26,92.0,AT10B_S2_NODE_1_length_122269_cov_11,103329,ASR77713.1,hypothetical protein SEA_PEEBS_6,Streptomyces phage Peebs,55.0,MF347638.1,133047.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Samistivirus,,Samistivirus peebs,E,Streptomyces phage Peebs,,,MF347638,NC_042011,Complete genome,dsDNA,bacteria,43.007999999999996
AT10B_S2_NODE_1_length_122269_cov_11.242561_135,AXH67398.1,51.1,47,23,0,2,48,4,50,2.05e-11,54.7,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH67398.1,hypothetical protein SEA_WOFFORD_264,Streptomyces phage Wollford,55.0,MH576968.1,133007.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Wollford,E,Streptomyces phage Wollford,,,MH576968,NC_048722,Complete genome,dsDNA,bacteria,24.017
AT10B_S2_NODE_1_length_122269_cov_11.242561_135,AXH70076.1,55.3,47,21,0,2,48,4,50,5.62e-11,53.5,AT10B_S2_NODE_1_length_122269_cov_11,103329,AXH70076.1,hypothetical protein SEA_KARIMAC_264,Streptomyces phage Karimac,53.0,MH590599.1,131909.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Boydwoodruffvirinae,Karimacvirus,,Streptomyces virus Karimac,E,Streptomyces phage Karimac,,,MH590599,NC_048724,Complete genome,dsDNA,bacteria,25.990999999999996
