qseqid_genome_ID,sseqid_genome_ID,sseqid_virus,distance,total_aln_length,avg_pid,avg_genome_length,qseqid_genome_length,sseqid_genome_length
JC33_S16_NODE_5465_length_1212_cov_5.890233,KX670790.2,Streptomyces phage Rima,0.992,171,46.8,28693.0,1218.0,56168.0
JC33_S16_NODE_54_length_5091_cov_18.510921,MF975637.1,Streptomyces phage Scap1,0.973,661,32.7,24015.5,4971.0,43060.0
JC33_S16_NODE_54_length_5091_cov_18.510921,MZ209303,Arthrobacter phage DevitoJr,0.989,383,30.8,31507.5,4971.0,58044.0
JC33_S16_NODE_54_length_5091_cov_18.510921,KU647628.2,Arthrobacter phage Mudcat,0.997,87,33.3,32207.0,4971.0,59443.0
JC33_S16_NODE_54_length_5091_cov_18.510921,KU160642.1,Arthrobacter phage Circum,0.997,65,41.5,31662.0,4971.0,58353.0
JC33_S16_NODE_5615_length_1201_cov_2.823735,OP580516,Arthrobacter phage Bauer,0.997,51,47.1,25737.5,1029.0,50446.0
JC33_S16_NODE_57_length_5080_cov_17.395622,GU580941.1,Rhodococcus phage ReqiPepy6,0.938,1475,50.333,40939.5,5082.0,76797.0
JC33_S16_NODE_57_length_5080_cov_17.395622,MN585971.1,Gordonia phage Avazak,0.996,95,47.4,32680.0,5082.0,60278.0
JC33_S16_NODE_5868_length_1183_cov_7.538121,MT310850.1,Gordonia phage Secretariat,0.997,98,33.7,29455.0,1179.0,57731.0
JC33_S16_NODE_5868_length_1183_cov_7.538121,GU580941.1,Rhodococcus phage ReqiPepy6,0.999,25,64.0,38988.0,1179.0,76797.0
JC33_S16_NODE_5925_length_1180_cov_2.637333,KX670790.2,Streptomyces phage Rima,0.993,129,50.4,28702.0,1236.0,56168.0
JC33_S16_NODE_598_length_2460_cov_46.935135,ON649699,Nitrososphaeria virus YSH_462411,0.99,169,40.2,19434.0,2223.0,36645.0
JC33_S16_NODE_5_length_11936_cov_5.059002,KJ194582.1,Mycobacterium phage Hawkeye,0.944,1626,40.633,39415.5,11448.0,67383.0
JC33_S16_NODE_5_length_11936_cov_5.059002,DQ398051.1,Mycobacterium phage PLot,0.992,256,39.8,38117.5,11448.0,64787.0
JC33_S16_NODE_5_length_11936_cov_5.059002,MN234170,Mycobacterium phage MalagasyRose,0.996,69,59.4,32874.5,11448.0,54301.0
JC33_S16_NODE_5_length_11936_cov_5.059002,JN412589.1,Mycobacterium phage Patience,0.997,107,41.1,40977.0,11448.0,70506.0
JC33_S16_NODE_5_length_11936_cov_5.059002,MH271301.1,Microbacterium phage Krampus,0.997,72,44.4,34078.0,11448.0,56708.0
JC33_S16_NODE_5_length_11936_cov_5.059002,OK999980,Arthrobacter phage EastWest,0.998,31,51.6,30922.5,11448.0,50397.0
JC33_S16_NODE_5_length_11936_cov_5.059002,BX897699,Bartonella henselae str. Houston-1,1.0,140,29.3,971247.5,11448.0,1931047.0
JC33_S16_NODE_61_length_4947_cov_20.536386,MN284904.1,Gordonia phage Tanis,0.985,291,59.75,32316.0,4905.0,59727.0
JC33_S16_NODE_61_length_4947_cov_20.536386,MF467948.1,Streptomyces phage DrGrey,0.986,220,65.5,30490.5,4905.0,56076.0
JC33_S16_NODE_61_length_4947_cov_20.536386,MT310850.1,Gordonia phage Secretariat,0.989,272,41.9,31318.0,4905.0,57731.0
JC33_S16_NODE_61_length_4947_cov_20.536386,KU160642.1,Arthrobacter phage Circum,0.99,208,49.2,31629.0,4905.0,58353.0
JC33_S16_NODE_61_length_4947_cov_20.536386,KU160646.1,Arthrobacter phage Gordon,0.991,250,37.6,31592.0,4905.0,58279.0
JC33_S16_NODE_61_length_4947_cov_20.536386,KX670790.2,Streptomyces phage Rima,0.991,180,49.4,30536.5,4905.0,56168.0
JC33_S16_NODE_61_length_4947_cov_20.536386,MK376957.1,Gordonia phage Duffington,0.995,98,51.0,33124.0,4905.0,61343.0
JC33_S16_NODE_6279_length_1158_cov_12.408885,OP590147,Leptolyngbya phage LPP-2 st. SPI,0.994,100,45.0,21726.5,1134.0,42319.0
JC33_S16_NODE_6279_length_1158_cov_12.408885,GU580941.1,Rhodococcus phage ReqiPepy6,0.994,150,50.7,38965.5,1134.0,76797.0
JC33_S16_NODE_663_length_2394_cov_104.449765,OR769223,phage Lak_Megaphage_Sonny,1.0,124,34.7,331005.5,2061.0,659950.0
JC33_S16_NODE_669_length_2389_cov_18.705656,KX925554.1,Streptomyces phage BRock,0.991,360,45.8,57464.5,2406.0,112523.0
JC33_S16_NODE_669_length_2389_cov_18.705656,ON529861,Luteibacter phage vB_LflM-Pluto,0.996,88,55.7,34967.0,2406.0,67528.0
JC33_S16_NODE_669_length_2389_cov_18.705656,MH588547.2,Caulobacter phage CcrSC,0.999,116,32.8,159947.5,2406.0,317489.0
JC33_S16_NODE_69_length_4772_cov_4.737121,MH271313.1,Gordonia phage Suzy,0.986,369,46.1,35872.0,4626.0,67118.0
JC33_S16_NODE_69_length_4772_cov_4.737121,JN116824,Rhodococcus phage REQ3,0.992,190,31.1,22050.0,4626.0,39474.0
JC33_S16_NODE_69_length_4772_cov_4.737121,MH271301.1,Microbacterium phage Krampus,0.993,202,37.6,30667.0,4626.0,56708.0
JC33_S16_NODE_69_length_4772_cov_4.737121,KX557285.1,Gordonia phage Terapin,0.996,108,47.2,35618.5,4626.0,66611.0
JC33_S16_NODE_69_length_4772_cov_4.737121,JN201525.1,Mycobacterium phage Thibault,0.996,191,36.1,55476.5,4626.0,106327.0
JC33_S16_NODE_69_length_4772_cov_4.737121,AB910393.1,Pseudomonas phage KPP25,0.997,103,30.1,34369.5,4626.0,64113.0
JC33_S16_NODE_6_length_11263_cov_28.012848,GU580942.1,Rhodococcus phage ReqiPoco6,0.943,1592,50.35,44175.5,10287.0,78064.0
JC33_S16_NODE_6_length_11263_cov_28.012848,MN284904.1,Gordonia phage Tanis,0.98,517,45.3,35007.0,10287.0,59727.0
JC33_S16_NODE_6_length_11263_cov_28.012848,MN585971.1,Gordonia phage Avazak,0.993,180,45.6,35282.5,10287.0,60278.0
JC33_S16_NODE_6_length_11263_cov_28.012848,GU580941.1,Rhodococcus phage ReqiPepy6,0.994,239,34.3,43542.0,10287.0,76797.0
JC33_S16_NODE_6_length_11263_cov_28.012848,MG757154.1,Streptomyces phage Bing,0.995,146,40.15,33314.0,10287.0,56341.0
JC33_S16_NODE_6_length_11263_cov_28.012848,MG711463.1,Faecalibacterium phage FP_oengus,0.996,123,40.7,34339.0,10287.0,58391.0
JC33_S16_NODE_6_length_11263_cov_28.012848,KF591601.1,Enterobacteria phage IME_EC2,0.997,77,36.4,25898.5,10287.0,41510.0
JC33_S16_NODE_723_length_2323_cov_3.986772,ON649699,Nitrososphaeria virus YSH_462411,0.99,129,48.8,19141.5,1638.0,36645.0
JC33_S16_NODE_723_length_2323_cov_3.986772,GQ303265.1,Mycobacterium phage Pumpkin,0.998,70,41.4,38064.5,1638.0,74491.0
JC33_S16_NODE_737_length_2306_cov_4.282985,MH271313.1,Gordonia phage Suzy,0.996,124,37.1,34598.5,2079.0,67118.0
JC33_S16_NODE_737_length_2306_cov_4.282985,OL455890,Gordonia phage Wojtek,0.997,73,47.9,34916.5,2079.0,67754.0
JC33_S16_NODE_737_length_2306_cov_4.282985,PP725409,Gordonia phage Xenia2,0.998,35,51.4,35107.0,2079.0,68135.0
JC33_S16_NODE_737_length_2306_cov_4.282985,MN908687.1,Gordonia phage Skog,0.999,29,75.9,77257.0,2079.0,152435.0
JC33_S16_NODE_747_length_2297_cov_4.738626,PP725409,Gordonia phage Xenia2,0.992,291,34.0,35096.5,2058.0,68135.0
JC33_S16_NODE_747_length_2297_cov_4.738626,KX557285.1,Gordonia phage Terapin,0.994,183,35.0,34334.5,2058.0,66611.0
JC33_S16_NODE_747_length_2297_cov_4.738626,MN234228.1,Mycobacterium phage Tourach,0.999,40,42.5,39967.0,2058.0,77876.0
JC33_S16_NODE_766_length_2280_cov_20.086292,KF669650.1,Clavibacter phage CN1A,0.998,36,50.0,29533.0,2277.0,56789.0
JC33_S16_NODE_766_length_2280_cov_20.086292,GU071098.1,Synechococcus phage S-SSM7,0.999,120,33.3,117577.5,2277.0,232878.0
JC33_S16_NODE_766_length_2280_cov_20.086292,AY939844.2,Prochlorococcus phage P-SSM2,0.999,103,34.0,127339.0,2277.0,252401.0
JC33_S16_NODE_76_length_4493_cov_56.166516,MW353175.1,Flavobacterium phage vB_FspM_immuto_2-6A,0.999,88,43.2,82393.5,4377.0,160410.0
JC33_S16_NODE_770_length_2277_cov_11.960396,KY065497,Streptococcus phage IPP61,0.993,251,29.5,31003.0,2136.0,59870.0
JC33_S16_NODE_770_length_2277_cov_11.960396,KU958700,Streptomyces phage Chymera,0.993,119,35.3,18439.0,2136.0,34742.0
JC33_S16_NODE_770_length_2277_cov_11.960396,OQ330850,Caulobacter phage TMCBR4,0.997,79,29.1,22316.0,2136.0,42496.0
JC33_S16_NODE_807_length_2251_cov_7.617031,MT657336,Microbacterium phage ClearAsMud,0.989,295,34.9,27590.0,2193.0,52987.0
JC33_S16_NODE_807_length_2251_cov_7.617031,MW291017,Streptomyces phage TurkishDelight,0.996,195,31.8,47899.5,2193.0,93606.0
JC33_S16_NODE_807_length_2251_cov_7.617031,MF580955.1,Salinibacter phage M1EM-1,0.996,56,41.1,19038.0,2193.0,35883.0
JC33_S16_NODE_817_length_2242_cov_9.830361,MN508356.1,Acinetobacter phage VB_ApiP_XC38,0.997,62,71.0,40811.5,2295.0,79328.0
JC33_S16_NODE_82_length_4420_cov_5.844674,MH727556.1,Microbacterium phage OneinaGillian,0.987,423,33.1,32927.5,4152.0,61703.0
JC33_S16_NODE_82_length_4420_cov_5.844674,MH479917.1,Gordonia phage KimmyK,0.992,278,30.9,31453.5,4152.0,58755.0
JC33_S16_NODE_82_length_4420_cov_5.844674,NC_005885,Actinoplanes phage phiAsp2,0.994,228,29.8,31395.0,4152.0,58638.0
JC33_S16_NODE_82_length_4420_cov_5.844674,MN062720,Microbacterium phage FuzzBuster,0.994,139,41.0,29498.0,4152.0,54844.0
JC33_S16_NODE_836_length_2227_cov_40.538214,AF335538.1,Enterobacteria phage HK620,0.994,171,23.4,20228.5,2160.0,38297.0
JC33_S16_NODE_84_length_4384_cov_6.189651,KR053201.1,Gordonia phage GTE8,0.994,304,24.3,35745.0,3873.0,67617.0
JC33_S16_NODE_84_length_4384_cov_6.189651,DQ398051.1,Mycobacterium phage PLot,0.994,198,33.8,34330.0,3873.0,64787.0
JC33_S16_NODE_84_length_4384_cov_6.189651,MN820898,Sphingomonas phage vB_StuS_MMDA13,0.996,154,30.5,33808.0,3873.0,63743.0
JC33_S16_NODE_84_length_4384_cov_6.189651,JN412591.1,Mycobacterium phage BigNuz,0.997,68,41.2,26428.5,3873.0,48984.0
JC33_S16_NODE_854_length_2207_cov_4.065520,MN234232.1,Gordonia phage Sadboi,0.994,254,29.5,34792.5,2100.0,67485.0
JC33_S16_NODE_854_length_2207_cov_4.065520,MN234207.1,Gordonia phage Ranch,0.995,200,28.0,34496.0,2100.0,66892.0
JC33_S16_NODE_8749_length_1042_cov_7.009119,MK962631.1,Achromobacter phage vB_AxyP_19-32_Axy12,0.994,163,46.0,37568.5,1041.0,74096.0
JC33_S16_NODE_8749_length_1042_cov_7.009119,KR534323.1,Pseudoalteromonas phage H101,0.999,66,43.9,66472.0,1041.0,131903.0
JC33_S16_NODE_8749_length_1042_cov_7.009119,KF381361.1,Sinorhizobium phage phiM12,1.0,28,53.6,97871.0,1041.0,194701.0
JC33_S16_NODE_87_length_4344_cov_13.450221,GQ478081.1,Enterococcus phage phiFL1A,0.997,62,37.1,21506.0,4248.0,38764.0
JC33_S16_NODE_929_length_2151_cov_20.988550,KX190833.1,Bacillus phage vB_BtS_BMBtp14,0.992,167,42.5,26225.0,1710.0,50740.0
JC33_S16_NODE_929_length_2151_cov_20.988550,MG711461.1,Faecalibacterium phage FP_Lagaffe,0.995,172,23.3,24960.5,1710.0,48211.0
JC33_S16_NODE_929_length_2151_cov_20.988550,KC171646.1,Lactobacillus phage J-1,0.995,79,41.8,21320.5,1710.0,40931.0
JC33_S16_NODE_933_length_2150_cov_3.863007,JN638751.1,Bacillus phage G,1.0,132,28.8,249829.0,2145.0,497513.0
JC33_S16_NODE_961_length_2136_cov_6.100432,MG757154.1,Streptomyces phage Bing,0.985,248,60.1,28940.0,1539.0,56341.0
JC33_S16_NODE_9624_length_1010_cov_4.418848,KP296791.1,Paenibacillus phage Diva,0.995,76,38.2,19116.5,987.0,37246.0
JC33_S16_NODE_9624_length_1010_cov_4.418848,AF020713.1,Bacillus phage SPBc2,0.999,55,38.2,67701.5,987.0,134416.0
JC33_S16_NODE_989_length_2115_cov_4.622330,KF861510.1,Mycobacterium phage EagleEye,0.995,71,59.2,27519.0,2064.0,52974.0
JC33_S16_NODE_989_length_2115_cov_4.622330,MK801733.1,Gordonia phage Chelms,0.996,156,33.3,39162.5,2064.0,76261.0
JC33_S16_NODE_989_length_2115_cov_4.622330,KU998242.1,Gordonia phage Demosthenes,0.998,73,41.1,38068.5,2064.0,74073.0
JC33_S16_NODE_989_length_2115_cov_4.622330,KR011063.1,Tsukamurella phage TIN3,0.998,83,33.7,39166.5,2064.0,76269.0
JC33_S16_NODE_990_length_2115_cov_3.008252,MK376957.1,Gordonia phage Duffington,0.971,375,82.9,31717.0,2091.0,61343.0
JC33_S16_NODE_990_length_2115_cov_3.008252,MT310850.1,Gordonia phage Secretariat,0.995,85,57.6,29911.0,2091.0,57731.0
JC33_S16_NODE_990_length_2115_cov_3.008252,MF975637.1,Streptomyces phage Scap1,0.996,105,30.5,22575.5,2091.0,43060.0
JC33_S16_NODE_99_length_4187_cov_7.223621,PP537962,Gordonia phage Morgana,0.994,186,45.2,45559.0,3579.0,87539.0
JC33_S16_NODE_99_length_4187_cov_7.223621,ON189045,Xanthomonas phage Elanor,0.997,72,40.3,32960.0,3579.0,62341.0
JC33_S16_NODE_99_length_4187_cov_7.223621,ON755185,Gordonia phage Genamy16,0.998,66,34.8,34576.5,3579.0,65574.0
JC33_S16_NODE_9_length_9280_cov_6.132466,MN234216,Streptomyces phage Gilgamesh,0.99,648,35.4,69197.0,9258.0,129136.0
JC33_S16_NODE_9_length_9280_cov_6.132466,MN023176.1,Brevibacterium phage AGM1,0.993,185,29.2,22645.0,9258.0,36032.0
JC33_S16_NODE_9_length_9280_cov_6.132466,OQ709216,Arthrobacter phage Emotion,0.994,160,34.4,27175.0,9258.0,45092.0
JC33_S16_NODE_9_length_9280_cov_6.132466,MG099939.1,Gordonia phage BENtherdunthat,0.996,108,39.8,32062.5,9258.0,54867.0
JC33_S16_NODE_9_length_9280_cov_6.132466,MH536811.1,Streptomyces phage Annadreamy,0.998,152,28.9,67492.0,9258.0,125726.0
JC39_S2_NODE_1047_length_2220_cov_3.104850,NC_009810,Listeria phage A500,0.993,164,28.7,20449.0,2031.0,38867.0
JC39_S2_NODE_1047_length_2220_cov_3.104850,MK411746.1,Arthrobacter phage Sonali,0.996,125,37.6,31552.0,2031.0,61073.0
JC39_S2_NODE_1066_length_2205_cov_2.895814,KJ081346.1,Bacillus phage BCP8-2,0.998,133,34.6,80620.0,2169.0,159071.0
JC39_S2_NODE_1066_length_2205_cov_2.895814,PP496414,Pseudomonas phage vB_PpuM-KoPa-4,0.999,37,54.1,49763.0,2169.0,97357.0
JC39_S2_NODE_1066_length_2205_cov_2.895814,BX897699,Bartonella henselae str. Houston-1,1.0,133,37.6,966608.0,2169.0,1931047.0
JC39_S2_NODE_1113_length_2181_cov_28.978833,HE611333.2,Pseudomonas phage tf,0.986,257,45.1,24190.0,2109.0,46271.0
JC39_S2_NODE_1113_length_2181_cov_28.978833,MT774385.1,crAssphage cr108_1,0.996,167,38.3,51773.0,2109.0,101437.0
JC39_S2_NODE_1128_length_2171_cov_2.989130,OP018674,Enterococcus phage vB_Efm_LG62,0.993,105,49.5,21773.5,1311.0,42236.0
JC39_S2_NODE_112_length_4131_cov_3.568940,FO818745.1,Escherichia phage RCS47,0.996,314,23.9,59582.5,4011.0,115154.0
JC39_S2_NODE_112_length_4131_cov_3.568940,MN857473,Caulobacter phage S2B,0.997,47,44.7,24846.5,4011.0,45682.0
JC39_S2_NODE_112_length_4131_cov_3.568940,MH412654.1,Synechococcus phage S-T4,0.999,76,36.8,92546.5,4011.0,181082.0
JC39_S2_NODE_11342_length_1036_cov_1.529052,AY299121.1,Xanthomonas phage Xp10,0.993,89,58.4,22711.5,1050.0,44373.0
JC39_S2_NODE_11342_length_1036_cov_1.529052,MN844877,Sphaerotilus phage vB_SnaP-R1,0.996,79,39.2,21278.5,1050.0,41507.0
JC39_S2_NODE_11342_length_1036_cov_1.529052,AP008979.1,Xipdecavirus OP1,0.996,47,63.8,22417.5,1050.0,43785.0
JC39_S2_NODE_11342_length_1036_cov_1.529052,MW355465,Salmonella phage vB_SenS_ER23,0.997,39,51.3,22087.5,1050.0,43125.0
JC39_S2_NODE_116_length_4098_cov_60.105615,PP467599,Dafengvirus linsing,0.995,96,33.3,19876.0,3978.0,35774.0
JC39_S2_NODE_122_length_4070_cov_5.779078,KU958700,Streptomyces phage Chymera,0.989,176,38.5,19408.0,4074.0,34742.0
JC39_S2_NODE_122_length_4070_cov_5.779078,MH632120.1,Mycobacterium phage Thonko,0.993,326,27.3,36772.5,4074.0,69471.0
JC39_S2_NODE_122_length_4070_cov_5.779078,NC_013420,Streptomyces phage ZL12,0.996,155,38.7,47254.5,4074.0,90435.0
JC39_S2_NODE_13_length_8341_cov_5.533792,KX557278.1,Gordonia phage Ghobes,0.97,855,28.55,26454.0,7623.0,45285.0
JC39_S2_NODE_13_length_8341_cov_5.533792,MK279841.1,Streptomyces phage Hiyaa,0.982,599,44.05,45421.0,7623.0,83219.0
JC39_S2_NODE_13_length_8341_cov_5.533792,MK112529.1,Arthrobacter phage BigMack,0.988,296,33.4,25490.0,7623.0,43357.0
JC39_S2_NODE_13_length_8341_cov_5.533792,MK016495.1,Microbacterium phage Goodman,0.993,111,52.3,24993.0,7623.0,42363.0
JC39_S2_NODE_14_length_8274_cov_5.119844,AY129339.1,Mycobacterium phage Barnyard,0.996,204,25.0,39343.5,7890.0,70797.0
JC39_S2_NODE_14_length_8274_cov_5.119844,KP339049.1,Enterococcus phage EFDG1,0.998,86,45.3,77739.5,7890.0,147589.0
JC39_S2_NODE_150_length_3869_cov_31.828789,MH684921.1,Sphingomonas phage Scott,0.992,160,40.6,23125.5,3174.0,43077.0
JC39_S2_NODE_1528_length_1977_cov_1.754943,KF591601.1,Enterobacteria phage IME_EC2,0.996,92,29.3,21503.5,1497.0,41510.0
JC39_S2_NODE_1568_length_1964_cov_3.855422,KU160672.2,Arthrobacter phage Wayne,0.996,91,34.1,23159.0,1947.0,44371.0
JC39_S2_NODE_15_length_8156_cov_15.044562,KP876466.1,Streptomyces phage TP1604,0.984,428,40.9,32566.5,7965.0,57168.0
JC39_S2_NODE_15_length_8156_cov_15.044562,OQ330850,Caulobacter phage TMCBR4,0.986,377,30.2,25230.5,7965.0,42496.0
JC39_S2_NODE_15_length_8156_cov_15.044562,KU963247.1,Gordonia phage Attis,0.988,235,48.9,27923.0,7965.0,47881.0
JC39_S2_NODE_15_length_8156_cov_15.044562,KX925554.1,Streptomyces phage BRock,0.995,156,62.8,60244.0,7965.0,112523.0
JC39_S2_NODE_15_length_8156_cov_15.044562,MH920639.1,Synechococcus phage S-P4,0.999,64,35.9,83225.0,7965.0,158485.0
JC39_S2_NODE_15_length_8156_cov_15.044562,CP000830,Dinoroseobacter shibae DFL 12 = DSM 16493,1.0,311,25.7,1898774.5,7965.0,3789584.0
JC39_S2_NODE_160_length_3817_cov_8.022860,NC_005885,Actinoplanes phage phiAsp2,0.991,262,37.0,31176.0,3714.0,58638.0
JC39_S2_NODE_160_length_3817_cov_8.022860,BK063679.1,Caudoviricetes sp. vir323,0.992,178,27.0,18946.5,3714.0,34179.0
JC39_S2_NODE_160_length_3817_cov_8.022860,JF411744.1,Paramecium bursaria Chlorella virus 1,0.999,302,24.8,167162.5,3714.0,330611.0
JC39_S2_NODE_160_length_3817_cov_8.022860,MG807320,Moumouvirus australiensis,1.0,88,23.9,550858.0,3714.0,1098002.0
JC39_S2_NODE_1669_length_1924_cov_2.621723,MN877442.1,Alteromonas phage vB_AmeM_PT11-V22,0.997,159,34.0,47116.5,1473.0,92760.0
JC39_S2_NODE_1721_length_1906_cov_2.915721,MG189906.1,Stenotrophomonas phage vB_SmaS_DLP_5,0.997,79,63.3,49177.0,1812.0,96542.0
JC39_S2_NODE_1721_length_1906_cov_2.915721,EF437941.1,Escherichia phage Phi1,0.998,134,38.1,83041.0,1812.0,164270.0
JC39_S2_NODE_1758_length_1892_cov_3.069134,AY133112.1,Vibrio phage VHML,0.996,75,36.0,22400.0,1602.0,43198.0
JC39_S2_NODE_1818_length_1867_cov_26.812914,ON649699,Nitrososphaeria virus YSH_462411,0.985,168,56.0,19230.0,1815.0,36645.0
JC39_S2_NODE_182_length_3714_cov_9.189669,MH271320.1,Microbacterium phage Zeta1847,0.985,411,32.1,25678.0,3435.0,47921.0
JC39_S2_NODE_182_length_3714_cov_9.189669,MH674343.1,Methanobacterium virus Drs3,0.993,129,37.2,20282.0,3435.0,37129.0
JC39_S2_NODE_182_length_3714_cov_9.189669,MN604698,Bacillus phage vB_BcM_Sam46,0.996,88,35.2,24427.0,3435.0,45419.0
JC39_S2_NODE_185_length_3696_cov_46.783027,AY078382.2,Pseudomonas phage PaP3,0.989,261,35.6,24532.0,3561.0,45503.0
JC39_S2_NODE_185_length_3696_cov_46.783027,JQ446452.1,Salinivibrio phage CW02,0.992,167,40.1,26475.5,3561.0,49390.0
JC39_S2_NODE_185_length_3696_cov_46.783027,OP491958,Aeromonas phage APT65,0.996,170,32.4,44374.5,3561.0,85188.0
JC39_S2_NODE_2036_length_1802_cov_4.704064,OP074812,Bacteriophage sp.,0.997,82,36.6,33038.5,1818.0,64259.0
JC39_S2_NODE_2183_length_1767_cov_2.271612,MH128984.1,Burkholderia phage vB_BmuP_KL4,0.988,353,24.4,22010.0,1770.0,42250.0
JC39_S2_NODE_2221_length_1761_cov_3.315358,MH898687.1,Edwardsiella phage Edno5,0.989,196,38.8,21190.0,1536.0,40844.0
JC39_S2_NODE_233_length_3487_cov_6.869464,MH825712,Microbacterium phage ValentiniPuff,0.985,484,34.1,32971.5,3426.0,62517.0
JC39_S2_NODE_233_length_3487_cov_6.869464,MF975637.1,Streptomyces phage Scap1,0.991,114,62.3,23243.0,3426.0,43060.0
JC39_S2_NODE_233_length_3487_cov_6.869464,MT310850.1,Gordonia phage Secretariat,0.997,53,50.9,30578.5,3426.0,57731.0
JC39_S2_NODE_254_length_3413_cov_30.603931,MH193369.1,Enterococcus phage LY0322,0.992,187,32.1,21481.0,2028.0,40934.0
JC39_S2_NODE_254_length_3413_cov_30.603931,LT960551.1,Yersinia phage fHe-Yen9-04,1.0,62,27.4,178203.0,2028.0,354378.0
JC39_S2_NODE_25_length_6842_cov_7.597908,KP876466.1,Streptomyces phage TP1604,0.975,579,46.5,31780.5,6393.0,57168.0
JC39_S2_NODE_25_length_6842_cov_7.597908,MW291017,Streptomyces phage TurkishDelight,0.997,124,43.5,49999.5,6393.0,93606.0
JC39_S2_NODE_25_length_6842_cov_7.597908,MK016495.1,Microbacterium phage Goodman,0.998,38,47.4,24378.0,6393.0,42363.0
JC39_S2_NODE_2656_length_1663_cov_21.299129,AP008979.1,Xipdecavirus OP1,0.991,267,25.8,22657.5,1530.0,43785.0
JC39_S2_NODE_26_length_6628_cov_5.692074,GQ478081.1,Enterococcus phage phiFL1A,0.989,275,28.7,22247.0,5730.0,38764.0
JC39_S2_NODE_26_length_6628_cov_5.692074,AY150271.2,Salmonella phage epsilon15,0.99,207,34.8,22701.0,5730.0,39672.0
JC39_S2_NODE_271_length_3352_cov_6.899606,KP876466.1,Streptomyces phage TP1604,0.992,178,50.6,30171.0,3174.0,57168.0
JC39_S2_NODE_271_length_3352_cov_6.899606,MG198784.1,Gordonia phage Gustav,0.995,95,40.0,23791.0,3174.0,44408.0
JC39_S2_NODE_271_length_3352_cov_6.899606,AF232233.1,Pseudomonas phage B3,0.997,49,40.8,20806.5,3174.0,38439.0
JC39_S2_NODE_274_length_3340_cov_6.165601,ON649699,Nitrososphaeria virus YSH_462411,0.982,300,38.7,19879.5,3114.0,36645.0
JC39_S2_NODE_2933_length_1612_cov_2.692357,AJ550940.2,Lomovskayavirus BT1,0.992,124,43.5,21574.0,1317.0,41831.0
JC39_S2_NODE_2933_length_1612_cov_2.692357,MG518519.1,Streptomyces phage Manuel,0.994,126,38.1,23247.0,1317.0,45177.0
JC39_S2_NODE_294_length_3260_cov_35.412480,MT732432.1,Cellulophaga phage Calle_1,0.993,365,24.1,38072.0,3165.0,72979.0
JC39_S2_NODE_295_length_3254_cov_6.567052,MH153813.1,Microbacterium phage Squash,0.997,85,37.6,32686.0,3060.0,62312.0
JC39_S2_NODE_295_length_3254_cov_6.567052,MG983743.2,Xanthomonas phage RiverRider,0.998,59,50.8,39697.5,3060.0,76335.0
JC39_S2_NODE_295_length_3254_cov_6.567052,MH588547.2,Caulobacter phage CcrSC,0.999,156,30.8,160274.5,3060.0,317489.0
JC39_S2_NODE_3126_length_1580_cov_3.943607,KU958700,Streptomyces phage Chymera,0.993,106,39.6,18155.5,1569.0,34742.0
JC39_S2_NODE_3126_length_1580_cov_3.943607,MH669004.1,Streptomyces phage Hank144,0.996,117,31.6,26058.0,1569.0,50547.0
JC39_S2_NODE_3126_length_1580_cov_3.943607,NC_005885,Actinoplanes phage phiAsp2,0.996,75,50.7,30103.5,1569.0,58638.0
JC39_S2_NODE_318_length_3173_cov_14.119949,KJ194582.1,Mycobacterium phage Hawkeye,0.996,112,45.5,35143.5,2904.0,67383.0
JC39_S2_NODE_318_length_3173_cov_14.119949,MH744420,Streptomyces phage Kromp,0.998,60,36.7,30586.0,2904.0,58268.0
JC39_S2_NODE_3191_length_1570_cov_3.956436,KM366098.1,Salmonella phage BP12C,0.994,219,28.3,30951.0,1296.0,60606.0
JC39_S2_NODE_31_length_6355_cov_13.811270,MN234216,Streptomyces phage Gilgamesh,0.996,285,33.3,67457.0,5778.0,129136.0
JC39_S2_NODE_31_length_6355_cov_13.811270,GU071100.1,Cyanophage 9515-10a,0.997,56,41.1,26416.5,5778.0,47055.0
JC39_S2_NODE_31_length_6355_cov_13.811270,MH028956.1,Staphylococcus phage phiSA_BS2,0.999,43,37.2,77503.5,5778.0,149229.0
JC39_S2_NODE_3234_length_1565_cov_2.672848,EU770222.1,Mycobacterium phage Predator,0.995,202,29.7,35842.5,1575.0,70110.0
JC39_S2_NODE_3249_length_1562_cov_3.385534,MT330372.1,Cronobacter phage JC01,0.994,161,37.3,31654.0,1572.0,61736.0
JC39_S2_NODE_3249_length_1562_cov_3.385534,MG029511.1,Staphylococcus phage phiSa2wa_st30,0.995,90,43.3,23676.0,1572.0,45780.0
JC39_S2_NODE_32_length_6257_cov_8.510642,MG515223.1,Streptomyces phage WRightOn,0.953,710,51.9,25480.0,5739.0,45221.0
JC39_S2_NODE_32_length_6257_cov_8.510642,MG518520.1,Streptomyces phage Immanuel3,0.984,270,56.0,25916.5,5739.0,46094.0
JC39_S2_NODE_32_length_6257_cov_8.510642,MK686068,Streptomyces phage RemusLoopin,0.987,213,48.4,23557.5,5739.0,41376.0
JC39_S2_NODE_32_length_6257_cov_8.510642,MG518519.1,Streptomyces phage Manuel,0.992,103,65.0,25458.0,5739.0,45177.0
JC39_S2_NODE_32_length_6257_cov_8.510642,KP339049.1,Enterococcus phage EFDG1,0.998,84,57.1,76664.0,5739.0,147589.0
